,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-791773.0909114892,6487175.187128353,14526760.45984409,-791773.0909114892,-791773.0909114892,11282989.576192679,11282989.576192679,11282989.576192679,50879565.62486748,50879565.62486748,50879565.62486748,-39596576.04867481,-39596576.04867481,-39596576.04867481,0.0,0.0,0.0,10491216.48528119
1,2014-04-01,-741658.1705499315,7547784.136332051,15120712.840727307,-741658.1705499315,-741658.1705499315,12096866.536508592,12096866.536508592,12096866.536508592,53546972.19879538,53546972.19879538,53546972.19879538,-41450105.66228679,-41450105.66228679,-41450105.66228679,0.0,0.0,0.0,11355208.36595866
2,2014-07-01,-690986.4176347107,7793464.724821784,15453402.826917214,-690986.4176347107,-690986.4176347107,12227983.673226044,12227983.673226044,12227983.673226044,53002761.810809284,53002761.810809284,53002761.810809284,-40774778.13758324,-40774778.13758324,-40774778.13758324,0.0,0.0,0.0,11536997.255591333
3,2014-10-01,-639757.8318960837,6364406.28717251,13984079.052043045,-639757.8318960837,-639757.8318960837,10829679.46492515,10829679.46492515,10829679.46492515,53341077.40064312,53341077.40064312,53341077.40064312,-42511397.93571796,-42511397.93571796,-42511397.93571796,0.0,0.0,0.0,10189921.633029066
4,2015-01-01,-588529.2457891711,5548154.74669348,13332161.789203057,-588529.2457891711,-588529.2457891711,9908018.821298692,9908018.821298692,9908018.821298692,50879565.62485511,50879565.62485511,50879565.62485511,-40971546.80355641,-40971546.80355641,-40971546.80355641,0.0,0.0,0.0,9319489.575509522
5,2015-04-01,-538414.3247440013,7349898.4601847585,14983871.346863834,-538414.3247440013,-538414.3247440013,11789357.86459804,11789357.86459804,11789357.86459804,53546972.19877112,53546972.19877112,53546972.19877112,-41757614.33417308,-41757614.33417308,-41757614.33417308,0.0,0.0,0.0,11250943.539854039
6,2015-07-01,-487742.5717019472,9349588.896390012,17541814.371078826,-487742.5717019472,-487742.5717019472,13999714.994525429,13999714.994525429,13999714.994525429,53002761.81083809,53002761.81083809,53002761.81083809,-39003046.816312656,-39003046.816312656,-39003046.816312656,0.0,0.0,0.0,13511972.422823481
7,2015-10-01,-436513.9866134833,6796437.167976906,14699048.413748048,-436513.9866134833,-436513.9866134833,11102458.501949338,11102458.501949338,11102458.501949338,53341077.40065141,53341077.40065141,53341077.40065141,-42238618.898702085,-42238618.898702085,-42238618.898702085,0.0,0.0,0.0,10665944.515335854
8,2016-01-01,-385285.4011898791,3988049.0400265856,11866311.48883893,-385285.4011898791,-385285.4011898791,8478604.735329218,8478604.735329218,8478604.735329218,50879565.6248402,50879565.6248402,50879565.6248402,-42400960.88951098,-42400960.88951098,-42400960.88951098,0.0,0.0,0.0,8093319.334139339
9,2016-04-01,-334613.6485659552,6874471.099114177,14954150.022561515,-334613.6485659552,-334613.6485659552,11397445.6308509,11397445.6308509,11397445.6308509,51895193.483402885,51895193.483402885,51895193.483402885,-40497747.85255199,-40497747.85255199,-40497747.85255199,0.0,0.0,0.0,11062831.982284945
10,2016-07-01,-283941.90186301526,4181678.4011952006,12260508.193529813,-283941.90186301526,-283941.90186301526,8491288.684279414,8491288.684279414,8491288.684279414,52737455.367966294,52737455.367966294,52737455.367966294,-44246166.68368688,-44246166.68368688,-44246166.68368688,0.0,0.0,0.0,8207346.782416399
11,2016-10-01,-232713.32291819356,2815700.3217058536,10568073.85778146,-232713.32291819356,-232713.32291819356,6929661.94644925,6929661.94644925,6929661.94644925,49748007.54283203,49748007.54283203,49748007.54283203,-42818345.596382774,-42818345.596382774,-42818345.596382774,0.0,0.0,0.0,6696948.623531057
12,2017-01-01,-181484.7442574222,3591315.992337001,11441612.24678481,-181484.7442574222,-181484.7442574222,7797822.130233771,7797822.130233771,7797822.130233771,46074767.88961793,46074767.88961793,46074767.88961793,-38276945.75938416,-38276945.75938416,-38276945.75938416,0.0,0.0,0.0,7616337.385976349
13,2017-04-01,-131369.83023245644,7023052.359361967,14629913.58375648,-131369.83023245644,-131369.83023245644,10865003.288814627,10865003.288814627,10865003.288814627,51895193.4834472,51895193.4834472,51895193.4834472,-41030190.19463255,-41030190.19463255,-41030190.19463255,0.0,0.0,0.0,10733633.45858217
14,2017-07-01,-80698.08423886685,6166589.57154529,14309407.583257655,-80698.08423886685,-80698.08423886685,10214513.321964268,10214513.321964268,10214513.321964268,52737455.36797965,52737455.36797965,52737455.36797965,-42522942.04601538,-42522942.04601538,-42522942.04601538,0.0,0.0,0.0,10133815.237725401
15,2017-10-01,-29469.505834256517,2839346.159327706,10551422.949442947,-29469.505834256517,-29469.505834256517,7043496.871715474,7043496.871715474,7043496.871715474,49748007.542825624,49748007.542825624,49748007.542825624,-42704510.67111016,-42704510.67111016,-42704510.67111016,0.0,0.0,0.0,7014027.365881218
16,2018-01-01,21759.072841732817,2725563.259449247,10221661.615281358,21759.072841732817,21759.072841732817,6478191.840950381,6478191.840950381,6478191.840950381,46074767.88962046,46074767.88962046,46074767.88962046,-39596576.048670076,-39596576.048670076,-39596576.048670076,0.0,0.0,0.0,6499950.913792114
17,2018-04-01,71873.98672934748,6380462.996129192,14396998.588969428,71873.98672934748,71873.98672934748,10445087.82113809,10445087.82113809,10445087.82113809,51895193.48343202,51895193.48343202,51895193.48343202,-41450105.66229395,-41450105.66229395,-41450105.66229395,0.0,0.0,0.0,10516961.807867438
18,2018-07-01,122545.73305364094,8439395.370453777,16229116.244190404,122545.73305364094,122545.73305364094,11962677.230395958,11962677.230395958,11962677.230395958,52737455.36797367,52737455.36797367,52737455.36797367,-40774778.137577705,-40774778.137577705,-40774778.137577705,0.0,0.0,0.0,12085222.9634496
19,2018-10-01,173774.31173907543,3430797.730700665,11298347.571260156,173774.31173907543,173774.31173907543,7236609.607100698,7236609.607100698,7236609.607100698,49748007.542817414,49748007.542817414,49748007.542817414,-42511397.93571673,-42511397.93571673,-42511397.93571673,0.0,0.0,0.0,7410383.918839773
20,2019-01-01,225002.8907381502,1521924.0526361447,9160448.069536712,225002.8907381502,225002.8907381502,5103221.086056941,5103221.086056941,5103221.086056941,46074767.88960672,46074767.88960672,46074767.88960672,-40971546.80354978,-40971546.80354978,-40971546.80354978,0.0,0.0,0.0,5328223.976795091
21,2019-04-01,275117.80487049016,6521425.86695978,14262760.916051645,275117.80487049016,275117.80487049016,10137579.149237508,10137579.149237508,10137579.149237508,51895193.48341393,51895193.48341393,51895193.48341393,-41757614.33417641,-41757614.33417641,-41757614.33417641,0.0,0.0,0.0,10412696.954107998
22,2019-07-01,325789.55153809325,10108033.84974155,18007172.483899754,325789.55153809325,325789.55153809325,13734408.551667498,13734408.551667498,13734408.551667498,52737455.36796935,52737455.36796935,52737455.36796935,-39003046.816301845,-39003046.816301845,-39003046.816301845,0.0,0.0,0.0,14060198.103205591
23,2019-10-01,377018.130071967,4014172.386913921,11864546.497370161,377018.130071967,377018.130071967,7509388.644138331,7509388.644138331,7509388.644138331,49748007.54284038,49748007.54284038,49748007.54284038,-42238618.89870205,-42238618.89870205,-42238618.89870205,0.0,0.0,0.0,7886406.7742102975
