,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,26181084.727475576,-503608.8416428916,7883777.539435349,26181084.727475576,26181084.727475576,-22545976.80776124,-22545976.80776124,-22545976.80776124,15037844.599191595,15037844.599191595,15037844.599191595,-37583821.406952865,-37583821.406952865,-37583821.406952865,0.0,0.0,0.0,3635107.9197143354
1,2014-04-01,26563230.49060569,1893464.4107327268,10799066.793642119,26563230.49060569,26563230.49060569,-20206801.46130807,-20206801.46130807,-20206801.46130807,19841671.562141187,19841671.562141187,19841671.562141187,-40048473.02344926,-40048473.02344926,-40048473.02344926,0.0,0.0,0.0,6356429.02929762
2,2014-07-01,26949622.31777317,572758.2866392848,9743701.879009927,26949622.31777317,26949622.31777317,-21825821.160033267,-21825821.160033267,-21825821.160033267,24229036.405473843,24229036.405473843,24229036.405473843,-46054857.5655071,-46054857.5655071,-46054857.5655071,0.0,0.0,0.0,5123801.157739904
3,2014-10-01,27340260.208958104,1599780.2143660004,10689131.803522388,27340260.208958104,27340260.208958104,-21528691.413897056,-21528691.413897056,-21528691.413897056,15673000.36097752,15673000.36097752,15673000.36097752,-37201691.774874575,-37201691.774874575,-37201691.774874575,0.0,0.0,0.0,5811568.795061048
4,2015-01-01,27730898.100208137,498818.1497132013,9246295.321494723,27730898.100208137,27730898.100208137,-22836399.820474036,-22836399.820474036,-22836399.820474036,15037844.599246684,15037844.599246684,15037844.599246684,-37874244.419720724,-37874244.419720724,-37874244.419720724,0.0,0.0,0.0,4894498.279734101
5,2015-04-01,28113043.863431778,5119265.568875014,14217203.57618679,28113043.863431778,28113043.863431778,-18515242.824598905,-18515242.824598905,-18515242.824598905,19841671.562279038,19841671.562279038,19841671.562279038,-38356914.386877954,-38356914.386877954,-38356914.386877954,0.0,0.0,0.0,9597801.038832873
6,2015-07-01,28499435.69070566,-950025.9096448297,8250410.176373159,28499435.69070566,28499435.69070566,-24845693.863809787,-24845693.863809787,-24845693.863809787,24229036.40530015,24229036.40530015,24229036.40530015,-49074730.26910994,-49074730.26910994,-49074730.26910994,0.0,0.0,0.0,3653741.826895874
7,2015-10-01,28890073.582095265,7156461.327256513,16337839.626742452,28890073.582095265,28890073.582095265,-17253256.275819886,-17253256.275819886,-17253256.275819886,15673000.36093937,15673000.36093937,15673000.36093937,-32926256.636759255,-32926256.636759255,-32926256.636759255,0.0,0.0,0.0,11636817.306275379
8,2016-01-01,29280711.473446433,1411551.6775262556,10392237.068367548,29280711.473446433,29280711.473446433,-23317349.129207496,-23317349.129207496,-23317349.129207496,15037844.59932227,15037844.59932227,15037844.59932227,-38355193.728529766,-38355193.728529766,-38355193.728529766,0.0,0.0,0.0,5963362.344238937
9,2016-04-01,29667103.300841138,-2224750.7539118654,7101879.680851606,29667103.300841138,29667103.300841138,-27247339.050194833,-27247339.050194833,-27247339.050194833,14984650.514282009,14984650.514282009,14984650.514282009,-42231989.56447687,-42231989.56447687,-42231989.56447687,0.0,0.0,0.0,2419764.2506463043
10,2016-07-01,30053495.128327508,463532.6082004462,9050650.693515437,30053495.128327508,30053495.128327508,-25244421.71645833,-25244421.71645833,-25244421.71645833,15084441.9354743,15084441.9354743,15084441.9354743,-40328863.651932634,-40328863.651932634,-40328863.651932634,0.0,0.0,0.0,4809073.411869176
11,2016-10-01,30444133.019804683,-3558412.5170654235,5308930.229028899,30444133.019804683,30444133.019804683,-29935247.379779767,-29935247.379779767,-29935247.379779767,14960690.742841946,14960690.742841946,14960690.742841946,-44895938.122621715,-44895938.122621715,-44895938.122621715,0.0,0.0,0.0,508885.64002491534
12,2017-01-01,30834770.91133133,1150925.7650714426,10285827.467676392,30834770.91133133,30834770.91133133,-25379122.502394162,-25379122.502394162,-25379122.502394162,12104766.938189177,12104766.938189177,12104766.938189177,-37483889.44058336,-37483889.44058336,-37483889.44058336,0.0,0.0,0.0,5455648.408937167
13,2017-04-01,31216916.674860377,618206.4696634399,9238173.021746555,31216916.674860377,31216916.674860377,-26356568.43418072,-26356568.43418072,-26356568.43418072,14984650.514065206,14984650.514065206,14984650.514065206,-41341218.94824596,-41341218.94824596,-41341218.94824596,0.0,0.0,0.0,4860348.240679655
14,2017-07-01,31603308.50243865,-1076078.2212003653,8366729.649249135,31603308.50243865,31603308.50243865,-28053383.751977395,-28053383.751977395,-28053383.751977395,15084441.935417295,15084441.935417295,15084441.935417295,-43137825.6873947,-43137825.6873947,-43137825.6873947,0.0,0.0,0.0,3549924.7504612543
15,2017-10-01,31993946.39407955,415381.3366971952,10098143.352405949,31993946.39407955,31993946.39407955,-26232369.07145553,-26232369.07145553,-26232369.07145553,14960690.742858557,14960690.742858557,14960690.742858557,-41193059.81431411,-41193059.81431411,-41193059.81431411,0.0,0.0,0.0,5761577.32262402
16,2018-01-01,32384628.23347305,2546901.0613157586,11456227.611590644,32384628.23347305,32384628.23347305,-25479054.468789972,-25479054.468789972,-25479054.468789972,12104766.938142443,12104766.938142443,12104766.938142443,-37583821.40693244,-37583821.40693244,-37583821.40693244,0.0,0.0,0.0,6905573.764683079
17,2018-04-01,32766816.989410374,3117688.735192729,12515531.545043772,32766816.989410374,32766816.989410374,-25063822.509305213,-25063822.509305213,-25063822.509305213,14984650.51413833,14984650.51413833,14984650.51413833,-40048473.02344354,-40048473.02344354,-40048473.02344354,0.0,0.0,0.0,7702994.480105162
18,2018-07-01,33153252.28702077,-2436067.4026806825,6525016.849678294,33153252.28702077,33153252.28702077,-30970415.630017255,-30970415.630017255,-30970415.630017255,15084441.935477095,15084441.935477095,15084441.935477095,-46054857.56549435,-46054857.56549435,-46054857.56549435,0.0,0.0,0.0,2182836.6570035145
19,2018-10-01,33543934.126314268,6635435.0524425395,15857043.870529544,33543934.126314268,33543934.126314268,-22241001.03200022,-22241001.03200022,-22241001.03200022,14960690.7428788,14960690.7428788,14960690.7428788,-37201691.774879016,-37201691.774879016,-37201691.774879016,0.0,0.0,0.0,11302933.094314046
