,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,420.25295041218595,599.4099879311409,912.9251438949806,420.25295041218595,420.25295041218595,338.14677692206385,338.14677692206385,338.14677692206385,6595.529888972761,6595.529888972761,6595.529888972761,-6257.3831120506975,-6257.3831120506975,-6257.3831120506975,0.0,0.0,0.0,758.3997273342497
1,2014-04-01,420.40810863083414,595.1217890406602,898.6796471325836,420.40810863083414,420.40810863083414,330.67262323218597,330.67262323218597,330.67262323218597,6667.26272594551,6667.26272594551,6667.26272594551,-6336.590102713325,-6336.590102713325,-6336.590102713325,0.0,0.0,0.0,751.0807318630201
2,2014-07-01,420.56499082484186,517.0315079136375,802.5281039154138,420.56499082484186,420.56499082484186,229.27575984652225,229.27575984652225,229.27575984652225,6634.999205452748,6634.999205452748,6634.999205452748,-6405.723445606226,-6405.723445606226,-6405.723445606226,0.0,0.0,0.0,649.840750671364
3,2014-10-01,420.7235970007155,548.3600519403363,845.0785099999579,420.7235970007155,420.7235970007155,281.86054678231216,281.86054678231216,281.86054678231216,6679.133952162778,6679.133952162778,6679.133952162778,-6397.273405380466,-6397.273405380466,-6397.273405380466,0.0,0.0,0.0,702.5841437830277
4,2015-01-01,420.88220317929415,530.0328835540921,844.7598895280453,420.88220317929415,420.88220317929415,265.2314216882521,265.2314216882521,265.2314216882521,6595.529888972372,6595.529888972372,6595.529888972372,-6330.298467284121,-6330.298467284121,-6330.298467284121,0.0,0.0,0.0,686.1136248675463
5,2015-04-01,421.03736139653086,627.3177429990294,916.8128069420736,421.03736139653086,421.03736139653086,351.4074690852289,351.4074690852289,351.4074690852289,6667.262725944863,6667.262725944863,6667.262725944863,-6315.855256859635,-6315.855256859635,-6315.855256859635,0.0,0.0,0.0,772.4448304817597
6,2015-07-01,421.19424358888506,537.0640981243833,845.6637233272686,421.19424358888506,421.19424358888506,265.59248793877697,265.59248793877697,265.59248793877697,6634.99920545338,6634.99920545338,6634.99920545338,-6369.406717514604,-6369.406717514604,-6369.406717514604,0.0,0.0,0.0,686.786731527662
7,2015-10-01,421.3528497608965,558.5323515958933,854.0724102235027,421.3528497608965,421.3528497608965,284.1249992680445,284.1249992680445,284.1249992680445,6679.133952162964,6679.133952162964,6679.133952162964,-6395.008952894919,-6395.008952894919,-6395.008952894919,0.0,0.0,0.0,705.477849028941
8,2016-01-01,421.51145593666394,479.1465216061542,766.5902369893654,421.51145593666394,421.51145593666394,196.9148858913949,196.9148858913949,196.9148858913949,6595.529888971976,6595.529888971976,6595.529888971976,-6398.615003080582,-6398.615003080582,-6398.615003080582,0.0,0.0,0.0,618.4263418280589
9,2016-04-01,421.6683381318038,575.2351921616546,867.6959310984141,421.6683381318038,421.6683381318038,289.83202250694296,289.83202250694296,289.83202250694296,6634.386111090228,6634.386111090228,6634.386111090228,-6344.554088583286,-6344.554088583286,-6344.554088583286,0.0,0.0,0.0,711.5003606387468
10,2016-07-01,421.8252203237832,483.04366903163174,779.0825054952724,421.8252203237832,421.8252203237832,210.35772606336732,210.35772606336732,210.35772606336732,6662.849797923967,6662.849797923967,6662.849797923967,-6452.4920718606,-6452.4920718606,-6452.4920718606,0.0,0.0,0.0,632.1829463871505
11,2016-10-01,421.9838181326522,425.78457074295153,730.1059579029115,421.9838181326522,421.9838181326522,161.05780032601672,161.05780032601672,161.05780032601672,6547.839488684878,6547.839488684878,6547.839488684878,-6386.781688358863,-6386.781688358863,-6386.781688358863,0.0,0.0,0.0,583.0416184586688
12,2017-01-01,422.14241594213945,451.8856734987553,751.4253516032632,422.14241594213945,422.14241594213945,182.95178290580668,182.95178290580668,182.95178290580668,6362.854696249441,6362.854696249441,6362.854696249441,-6179.902913343633,-6179.902913343633,-6179.902913343633,0.0,0.0,0.0,605.0941988479461
13,2017-04-01,422.2975659688783,558.1550453781961,855.0288414827914,422.2975659688783,422.2975659688783,288.2161022206506,288.2161022206506,288.2161022206506,6634.38611109139,6634.38611109139,6634.38611109139,-6346.170008870739,-6346.170008870739,-6346.170008870739,0.0,0.0,0.0,710.513668189529
14,2017-07-01,422.4544398821787,508.20878795869857,799.0532383025806,422.4544398821787,422.4544398821787,229.43798091731753,229.43798091731753,229.43798091731753,6662.84979792433,6662.84979792433,6662.84979792433,-6433.411817007013,-6433.411817007013,-6433.411817007013,0.0,0.0,0.0,651.8924207994962
