,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,48.335556135908945,167.16317554910808,274.2996573176338,48.335556135908945,48.335556135908945,173.14774883403,173.14774883403,173.14774883403,382.8583443229844,382.8583443229844,382.8583443229844,-209.71059548895443,-209.71059548895443,-209.71059548895443,0.0,0.0,0.0,221.48330496993896
1,2014-04-01,48.07239490907558,159.4596627634958,266.4112766279749,48.07239490907558,48.07239490907558,164.60721492853366,164.60721492853366,164.60721492853366,398.616668873958,398.616668873958,398.616668873958,-234.00945394542447,-234.00945394542447,-234.00945394542447,0.0,0.0,0.0,212.67960983760923
2,2014-07-01,47.8063096703306,150.81834448879616,262.4493260669865,47.8063096703306,47.8063096703306,163.93994915130702,163.93994915130702,163.93994915130702,402.3709423007336,402.3709423007336,402.3709423007336,-238.43099314942663,-238.43099314942663,-238.43099314942663,0.0,0.0,0.0,211.7462588216376
3,2014-10-01,47.537300415560345,147.11648833522028,252.11906548169026,47.537300415560345,47.537300415560345,154.00360424183194,154.00360424183194,154.00360424183194,393.2384968315421,393.2384968315421,393.2384968315421,-239.23489258971014,-239.23489258971014,-239.23489258971014,0.0,0.0,0.0,201.54090465739228
4,2015-01-01,47.26829116302756,162.00208475748923,268.6919385215938,47.26829116302756,47.26829116302756,170.22563956329415,170.22563956329415,170.22563956329415,382.8583443230297,382.8583443230297,382.8583443230297,-212.6327047597355,-212.6327047597355,-212.6327047597355,0.0,0.0,0.0,217.4939307263217
5,2015-04-01,47.00512993756535,152.0031152957865,266.64768695808215,47.00512993756535,47.00512993756535,162.41876333706136,162.41876333706136,162.41876333706136,398.61666887412343,398.61666887412343,398.61666887412343,-236.197905537062,-236.197905537062,-236.197905537062,0.0,0.0,0.0,209.42389327462672
6,2015-07-01,46.73904469571286,156.2010892832056,270.21201080504227,46.73904469571286,46.73904469571286,164.09333617440006,164.09333617440006,164.09333617440006,402.3709423005453,402.3709423005453,402.3709423005453,-238.27760612614537,-238.27760612614537,-238.27760612614537,0.0,0.0,0.0,210.83238087011293
7,2015-10-01,46.47003543951983,157.913398833859,269.735583732088,46.47003543951983,46.47003543951983,167.9718514100462,167.9718514100462,167.9718514100462,393.2384968315034,393.2384968315034,393.2384968315034,-225.26664542145718,-225.26664542145718,-225.26664542145718,0.0,0.0,0.0,214.44188684956606
8,2016-01-01,46.201026184620495,159.99533769402686,268.9707314351928,46.201026184620495,46.201026184620495,167.95539932586442,167.95539932586442,167.95539932586442,382.85834432313425,382.85834432313425,382.85834432313425,-214.90294499726988,-214.90294499726988,-214.90294499726988,0.0,0.0,0.0,214.15642551048492
9,2016-04-01,45.934940945418965,152.6471992565883,264.2733740401233,45.934940945418965,45.934940945418965,162.88064145973053,162.88064145973053,162.88064145973053,387.2626194518597,387.2626194518597,387.2626194518597,-224.38197799212912,-224.38197799212912,-224.38197799212912,0.0,0.0,0.0,208.81558240514948
10,2016-07-01,45.668855701790406,139.81413935744828,252.0970235067084,45.668855701790406,45.668855701790406,148.7906417592991,148.7906417592991,148.7906417592991,390.5739953001068,390.5739953001068,390.5739953001068,-241.78335354080755,-241.78335354080755,-241.78335354080755,0.0,0.0,0.0,194.45949746108948
11,2016-10-01,45.39984644244464,96.04968084524799,205.93645137162437,45.39984644244464,45.39984644244464,109.9215942787816,109.9215942787816,109.9215942787816,376.97658663569956,376.97658663569956,376.97658663569956,-267.054992356918,-267.054992356918,-267.054992356918,0.0,0.0,0.0,155.32144072122622
12,2017-01-01,45.13083717342109,126.4351535989423,240.5984762178792,45.13083717342109,45.13083717342109,141.6907368064997,141.6907368064997,141.6907368064997,347.8171921707494,347.8171921707494,347.8171921707494,-206.12645536424972,-206.12645536424972,-206.12645536424972,0.0,0.0,0.0,186.8215739799208
13,2017-04-01,44.867673805135496,142.82785597419743,252.92240395077368,44.867673805135496,44.867673805135496,157.1966727454087,157.1966727454087,157.1966727454087,387.2626194516415,387.2626194516415,387.2626194516415,-230.0659467062328,-230.0659467062328,-230.0659467062328,0.0,0.0,0.0,202.0643465505442
14,2017-07-01,44.601586399879764,142.93029732349453,250.07204981146214,44.601586399879764,44.601586399879764,150.97787138373477,150.97787138373477,150.97787138373477,390.5739953000449,390.5739953000449,390.5739953000449,-239.59612391631015,-239.59612391631015,-239.59612391631015,0.0,0.0,0.0,195.57945778361454
15,2017-10-01,44.33257495645678,114.69327574699264,223.62020943601763,44.33257495645678,44.33257495645678,123.80458087708868,123.80458087708868,123.80458087708868,376.976586635697,376.976586635697,376.976586635697,-253.17200575860838,-253.17200575860838,-253.17200575860838,0.0,0.0,0.0,168.13715583354548
16,2018-01-01,44.06356351413658,125.70130714159866,239.18669032113377,44.06356351413658,44.06356351413658,138.10659668189152,138.10659668189152,138.10659668189152,347.817192170678,347.817192170678,347.817192170678,-209.7105954887865,-209.7105954887865,-209.7105954887865,0.0,0.0,0.0,182.1701601960281
17,2018-04-01,43.800400145704245,139.2738743954105,247.69199894006618,43.800400145704245,43.800400145704245,153.25316550636245,153.25316550636245,153.25316550636245,387.2626194516957,387.2626194516957,387.2626194516957,-234.00945394533318,-234.00945394533318,-234.00945394533318,0.0,0.0,0.0,197.0535656520667
