,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-61.08987948296233,96.93489420759448,173.25425417292817,-61.08987948296233,-61.08987948296233,197.02278301874992,197.02278301874992,197.02278301874992,1448.4234304406214,1448.4234304406214,1448.4234304406214,-1251.4006474218713,-1251.4006474218713,-1251.4006474218713,0.0,0.0,0.0,135.9329035357876
1,2014-04-01,-61.15672474562228,94.23283163804936,173.13974892852923,-61.15672474562228,-61.15672474562228,193.12201685909326,193.12201685909326,193.12201685909326,1449.153681398539,1449.153681398539,1449.153681398539,-1256.031664539446,-1256.031664539446,-1256.031664539446,0.0,0.0,0.0,131.96529211347098
2,2014-07-01,-61.22431259436327,69.80497940142985,148.0327484614162,-61.22431259436327,-61.22431259436327,170.52916308715783,170.52916308715783,170.52916308715783,1427.9048706007675,1427.9048706007675,1427.9048706007675,-1257.3757075136098,-1257.3757075136098,-1257.3757075136098,0.0,0.0,0.0,109.30485049279456
3,2014-10-01,-61.292643080190686,96.6177376824435,177.79782765187792,-61.292643080190686,-61.292643080190686,197.95049717847252,197.95049717847252,197.95049717847252,1463.3446923918057,1463.3446923918057,1463.3446923918057,-1265.394195213333,-1265.394195213333,-1265.394195213333,0.0,0.0,0.0,136.65785409828183
4,2015-01-01,-61.36097370346595,77.81424895122822,156.58015259605338,-61.36097370346595,-61.36097370346595,176.82642155850027,176.82642155850027,176.82642155850027,1448.4234304402983,1448.4234304402983,1448.4234304402983,-1271.5970088817976,-1271.5970088817976,-1271.5970088817976,0.0,0.0,0.0,115.46544785503431
5,2015-04-01,-61.42781880195038,94.5257015934808,169.75927354132708,-61.42781880195038,-61.42781880195038,192.92105522636817,192.92105522636817,192.92105522636817,1449.1536813976672,1449.1536813976672,1449.1536813976672,-1256.2326261712992,-1256.2326261712992,-1256.2326261712992,0.0,0.0,0.0,131.49323642441777
6,2015-07-01,-61.49540664933283,83.23866392170245,162.77744865256727,-61.49540664933283,-61.49540664933283,184.19763967180455,184.19763967180455,184.19763967180455,1427.904870601867,1427.904870601867,1427.904870601867,-1243.7072309300622,-1243.7072309300622,-1243.7072309300622,0.0,0.0,0.0,122.70223302247172
7,2015-10-01,-61.56373736630287,106.57815798582307,182.62674055839935,-61.56373736630287,-61.56373736630287,206.38977911157528,206.38977911157528,206.38977911157528,1463.3446923920465,1463.3446923920465,1463.3446923920465,-1256.9549132804711,-1256.9549132804711,-1256.9549132804711,0.0,0.0,0.0,144.82604174527242
8,2016-01-01,-61.632068235475536,56.291131419255,133.59740100776585,-61.632068235475536,-61.632068235475536,156.90717418423745,156.90717418423745,156.90717418423745,1448.4234304399781,1448.4234304399781,1448.4234304399781,-1291.516256255741,-1291.516256255741,-1291.516256255741,0.0,0.0,0.0,95.2751059487619
9,2016-04-01,-61.69965633270349,107.17167339518058,182.01643952567855,-61.69965633270349,-61.69965633270349,205.8867220297726,205.8867220297726,205.8867220297726,1455.6061166924299,1455.6061166924299,1455.6061166924299,-1249.7193946626571,-1249.7193946626571,-1249.7193946626571,0.0,0.0,0.0,144.18706569706913
10,2016-07-01,-61.7672445098934,80.34776218104577,160.0181966291828,-61.7672445098934,-61.7672445098934,182.0994769765421,182.0994769765421,182.0994769765421,1461.1488519725053,1461.1488519725053,1461.1488519725053,-1279.049374995963,-1279.049374995963,-1279.049374995963,0.0,0.0,0.0,120.33223246664869
