,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,24.54671363007961,106.99431827515966,197.4175815763925,24.54671363007961,24.54671363007961,127.74781242312572,127.74781242312572,127.74781242312572,954.1414421780861,954.1414421780861,954.1414421780861,-826.3936297549603,-826.3936297549603,-826.3936297549603,0.0,0.0,0.0,152.29452605320535
1,2014-04-01,23.993890509122586,85.40482413141011,171.30357295189236,23.993890509122586,23.993890509122586,103.55696152073386,103.55696152073386,103.55696152073386,966.2528723567623,966.2528723567623,966.2528723567623,-862.6959108360285,-862.6959108360285,-862.6959108360285,0.0,0.0,0.0,127.55085202985646
2,2014-07-01,23.434924911101028,70.90207435477954,158.32451119305705,23.434924911101028,23.434924911101028,92.56455816733673,92.56455816733673,92.56455816733673,952.7203288880988,952.7203288880988,952.7203288880988,-860.1557707207623,-860.1557707207623,-860.1557707207623,0.0,0.0,0.0,115.99948307843775
3,2014-10-01,22.869816832338074,89.73779853037047,172.85204077074673,22.869816832338074,22.869816832338074,109.15666672514345,109.15666672514345,109.15666672514345,974.558611344887,974.558611344887,974.558611344887,-865.4019446197436,-865.4019446197436,-865.4019446197436,0.0,0.0,0.0,132.02648355748153
4,2015-01-01,22.304708756046892,101.47510700530032,195.64553705882534,22.304708756046892,22.304708756046892,125.77970655365802,125.77970655365802,125.77970655365802,954.1414421779484,954.1414421779484,954.1414421779484,-828.3617356242904,-828.3617356242904,-828.3617356242904,0.0,0.0,0.0,148.08441530970492
5,2015-04-01,21.751885636242626,79.27120598911803,168.147914327225,21.751885636242626,21.751885636242626,103.97935667988774,103.97935667988774,103.97935667988774,966.2528723564684,966.2528723564684,966.2528723564684,-862.2735156765807,-862.2735156765807,-862.2735156765807,0.0,0.0,0.0,125.73124231613036
6,2015-07-01,21.192920038377483,69.19799120680707,162.00872504610373,21.192920038377483,21.192920038377483,94.36500275226858,94.36500275226858,94.36500275226858,952.720328888436,952.720328888436,952.720328888436,-858.3553261361675,-858.3553261361675,-858.3553261361675,0.0,0.0,0.0,115.55792279064606
7,2015-10-01,20.627811962686536,76.97540580194988,167.2933944758762,20.627811962686536,20.627811962686536,101.92437649041098,101.92437649041098,101.92437649041098,974.5586113449747,974.5586113449747,974.5586113449747,-872.6342348545636,-872.6342348545636,-872.6342348545636,0.0,0.0,0.0,122.55218845309751
8,2016-01-01,20.06270388678017,102.0187480679239,191.1119526295931,20.06270388678017,20.06270388678017,124.44747840049035,124.44747840049035,124.44747840049035,954.1414421777295,954.1414421777295,954.1414421777295,-829.6939637772391,-829.6939637772391,-829.6939637772391,0.0,0.0,0.0,144.51018228727054
9,2016-04-01,19.503738291223723,77.53320852780878,168.19870909442696,19.503738291223723,19.503738291223723,104.58388217251863,104.58388217251863,104.58388217251863,964.0921815682958,964.0921815682958,964.0921815682958,-859.508299395777,-859.508299395777,-859.508299395777,0.0,0.0,0.0,124.08762046374235
