,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,537.6460237696775,786.2630424324327,1140.5136539325497,537.6460237696775,537.6460237696775,440.35601076931187,440.35601076931187,440.35601076931187,7639.886281960521,7639.886281960521,7639.886281960521,-7199.530271191208,-7199.530271191208,-7199.530271191208,0.0,0.0,0.0,978.0020345389894
1,2014-04-01,537.6272986023895,790.0061183291871,1153.674635118387,537.6272986023895,537.6272986023895,424.15049700413607,424.15049700413607,424.15049700413607,7727.568056550572,7727.568056550572,7727.568056550572,-7303.417559546437,-7303.417559546437,-7303.417559546437,0.0,0.0,0.0,961.7777956065256
2,2014-07-01,537.6083653701592,677.645910773179,1028.913063541611,537.6083653701592,537.6083653701592,323.369155034513,323.369155034513,323.369155034513,7699.2681237014485,7699.2681237014485,7699.2681237014485,-7375.898968666934,-7375.898968666934,-7375.898968666934,0.0,0.0,0.0,860.9775204046722
3,2014-10-01,537.5892240660928,713.4639110685252,1088.661486159449,537.5892240660928,537.5892240660928,365.29354886952024,365.29354886952024,365.29354886952024,7733.8439754187975,7733.8439754187975,7733.8439754187975,-7368.550426549278,-7368.550426549278,-7368.550426549278,0.0,0.0,0.0,902.882772935613
4,2015-01-01,537.5700827735302,726.5469531004096,1072.9837195211746,537.5700827735302,537.5700827735302,364.5461259224083,364.5461259224083,364.5461259224083,7639.8862819601245,7639.8862819601245,7639.8862819601245,-7275.340156037717,-7275.340156037717,-7275.340156037717,0.0,0.0,0.0,902.1162086959384
5,2015-04-01,537.5513575863698,795.1549883556747,1164.5836923760028,537.5513575863698,537.5513575863698,445.10891366282107,445.10891366282107,445.10891366282107,7727.5680565501,7727.5680565501,7727.5680565501,-7282.459142887278,-7282.459142887278,-7282.459142887278,0.0,0.0,0.0,982.6602712491908
6,2015-07-01,537.5324243406956,713.7657420210605,1084.6929696876468,537.5324243406956,537.5324243406956,359.98018501158936,359.98018501158936,359.98018501158936,7699.268123701843,7699.268123701843,7699.268123701843,-7339.287938690253,-7339.287938690253,-7339.287938690253,0.0,0.0,0.0,897.5126093522849
7,2015-10-01,537.513283031014,739.5599138968016,1107.3035445075036,537.513283031014,537.513283031014,382.0684355208565,382.0684355208565,382.0684355208565,7733.843975418943,7733.843975418943,7733.843975418943,-7351.775539898086,-7351.775539898086,-7351.775539898086,0.0,0.0,0.0,919.5817185518705
8,2016-01-01,537.494141725569,651.9033130703771,1015.9601312048591,537.494141725569,537.494141725569,294.83452674870574,294.83452674870574,294.83452674870574,7639.886281959826,7639.886281959826,7639.886281959826,-7345.0517552111205,-7345.0517552111205,-7345.0517552111205,0.0,0.0,0.0,832.3286684742748
9,2016-04-01,537.4667543812877,749.4968152243939,1118.72366338846,537.4667543812877,537.4667543812877,383.37204701352965,383.37204701352965,383.37204701352965,7683.10223072313,7683.10223072313,7683.10223072313,-7299.730183709599,-7299.730183709599,-7299.730183709599,0.0,0.0,0.0,920.8388013948174
10,2016-07-01,537.4393670390459,654.5934770907571,1019.4143409490201,537.4393670390459,537.4393670390459,288.8045251580184,288.8045251580184,288.8045251580184,7714.866070002555,7714.866070002555,7714.866070002555,-7426.061544844535,-7426.061544844535,-7426.061544844535,0.0,0.0,0.0,826.2438921970643
11,2016-10-01,537.411678719812,557.1945570885556,922.8412077500292,537.411678719812,537.411678719812,200.59128557465317,200.59128557465317,200.59128557465317,7586.386249173204,7586.386249173204,7586.386249173204,-7385.7949635985515,-7385.7949635985515,-7385.7949635985515,0.0,0.0,0.0,738.0029642944652
12,2017-01-01,537.3839903815622,615.7319261572749,970.2080437325901,537.3839903815622,537.3839903815622,254.9311313601766,254.9311313601766,254.9311313601766,7372.5620471073335,7372.5620471073335,7372.5620471073335,-7117.630915747157,-7117.630915747157,-7117.630915747157,0.0,0.0,0.0,792.3151217417387
13,2017-04-01,537.3569039704244,751.4712265051753,1085.8026403748972,537.3569039704244,537.3569039704244,373.9208649754724,373.9208649754724,373.9208649754724,7683.102230724134,7683.102230724134,7683.102230724134,-7309.181365748659,-7309.181365748659,-7309.181365748659,0.0,0.0,0.0,911.2777689458967
14,2017-07-01,537.3295165952727,659.5341995775894,1028.9548262735223,537.3295165952727,537.3295165952727,310.0564940823947,310.0564940823947,310.0564940823947,7714.866070002857,7714.866070002857,7714.866070002857,-7404.8095759204625,-7404.8095759204625,-7404.8095759204625,0.0,0.0,0.0,847.3860106776674
15,2017-10-01,537.2910608177791,562.9367989506661,915.7214866448766,537.2910608177791,537.2910608177791,206.4950761688064,206.4950761688064,206.4950761688064,7586.386249172785,7586.386249172785,7586.386249172785,-7379.891173003979,-7379.891173003979,-7379.891173003979,0.0,0.0,0.0,743.7861369865855
16,2018-01-01,537.2442085559843,533.3307729288201,888.9665948807854,537.2442085559843,537.2442085559843,173.03177591739697,173.03177591739697,173.03177591739697,7372.562047106959,7372.562047106959,7372.562047106959,-7199.530271189562,-7199.530271189562,-7199.530271189562,0.0,0.0,0.0,710.2759844733813
17,2018-04-01,537.1983748287483,728.5874242097552,1099.5298133977155,537.1983748287483,537.1983748287483,379.684671177242,379.684671177242,379.684671177242,7683.102230723767,7683.102230723767,7683.102230723767,-7303.417559546523,-7303.417559546523,-7303.417559546523,0.0,0.0,0.0,916.8830460059903
18,2018-07-01,537.1520318292298,698.1808093158767,1054.3977214869221,537.1520318292298,537.1520318292298,338.9671013366832,338.9671013366832,338.9671013366832,7714.866070002812,7714.866070002812,7714.866070002812,-7375.898968666128,-7375.898968666128,-7375.898968666128,0.0,0.0,0.0,876.119133165913
19,2018-10-01,537.1051795470127,575.1699627617951,931.5579706458473,537.1051795470127,537.1051795470127,217.83582262301871,217.83582262301871,217.83582262301871,7586.38624917239,7586.38624917239,7586.38624917239,-7368.550426549372,-7368.550426549372,-7368.550426549372,0.0,0.0,0.0,754.9410021700314
20,2019-01-01,537.0583272503533,452.0883955008005,814.0865652969153,537.0583272503533,537.0583272503533,97.22189106944288,97.22189106944288,97.22189106944288,7372.562047107318,7372.562047107318,7372.562047107318,-7275.340156037874,-7275.340156037874,-7275.340156037874,0.0,0.0,0.0,634.2802183197962
21,2019-04-01,537.0124934840304,761.273619983539,1103.2336021575118,537.0124934840304,537.0124934840304,400.64308783602394,400.64308783602394,400.64308783602394,7683.102230723408,7683.102230723408,7683.102230723408,-7282.459142887385,-7282.459142887385,-7282.459142887385,0.0,0.0,0.0,937.6555813200544
22,2019-07-01,536.9661504374036,742.4068996369734,1095.7355026311543,536.9661504374036,536.9661504374036,375.5781313136673,375.5781313136673,375.5781313136673,7714.866070002669,7714.866070002669,7714.866070002669,-7339.287938689003,-7339.287938689003,-7339.287938689003,0.0,0.0,0.0,912.5442817510709
23,2019-10-01,536.9192981257498,588.3484170865831,969.8264988293917,536.9192981257498,536.9192981257498,234.61070927554766,234.61070927554766,234.61070927554766,7586.386249173624,7586.386249173624,7586.386249173624,-7351.775539898076,-7351.775539898076,-7351.775539898076,0.0,0.0,0.0,771.5300074012976
24,2020-01-01,536.8724458166921,393.6944188044922,738.3420186419416,536.8724458166921,536.8724458166921,27.51029189655029,27.51029189655029,27.51029189655029,7372.56204710809,7372.56204710809,7372.56204710809,-7345.05175521154,-7345.05175521154,-7345.05175521154,0.0,0.0,0.0,564.3827377132424
25,2020-04-01,536.8261027762852,509.6575397236088,869.718864939848,536.8261027762852,536.8261027762852,152.4066267799036,152.4066267799036,152.4066267799036,7452.1368104895755,7452.1368104895755,7452.1368104895755,-7299.730183709672,-7299.730183709672,-7299.730183709672,0.0,0.0,0.0,689.2327295561888
26,2020-07-01,536.7797597358784,448.89060925678876,817.1815709501141,536.7797597358784,536.7797597358784,97.5015008419881,97.5015008419881,97.5015008419881,7523.563045686692,7523.563045686692,7523.563045686692,-7426.061544844704,-7426.061544844704,-7426.061544844704,0.0,0.0,0.0,634.2812605778665
27,2020-10-01,536.7329074312914,244.97404642683938,609.3052177393238,536.7329074312914,536.7329074312914,-100.78249996826142,-100.78249996826142,-100.78249996826142,7285.012463630365,7285.012463630365,7285.012463630365,-7385.794963598626,-7385.794963598626,-7385.794963598626,0.0,0.0,0.0,435.95040746303005
28,2021-01-01,536.6860551267042,206.10530629378266,572.1133616592141,536.6860551267042,536.6860551267042,-145.61812902086217,-145.61812902086217,-145.61812902086217,6972.012786726865,6972.012786726865,6972.012786726865,-7117.630915747726,-7117.630915747726,-7117.630915747726,0.0,0.0,0.0,391.06792610584205
29,2021-04-01,536.6402213504778,493.3356521917021,859.4934231240893,536.6402213504778,536.6402213504778,142.95544474163938,142.95544474163938,142.95544474163938,7452.136810490364,7452.136810490364,7452.136810490364,-7309.1813657487255,-7309.1813657487255,-7309.1813657487255,0.0,0.0,0.0,679.5956660921172
