,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,50.11271895180828,151.89879081319367,246.0674305685438,50.11271895180828,50.11271895180828,147.49605557704217,147.49605557704217,147.49605557704217,375.23732040564596,375.23732040564596,375.23732040564596,-227.7412648286038,-227.7412648286038,-227.7412648286038,0.0,0.0,0.0,197.60877452885046
1,2014-04-01,50.96082334324887,136.9786567414829,231.32969215961614,50.96082334324887,50.96082334324887,130.2236925687215,130.2236925687215,130.2236925687215,406.3869089560818,406.3869089560818,406.3869089560818,-276.1632163873602,-276.1632163873602,-276.1632163873602,0.0,0.0,0.0,181.18451591197038
2,2014-07-01,51.818351118723605,122.65141179327294,217.59044711023478,51.818351118723605,51.818351118723605,118.87779249417063,118.87779249417063,118.87779249417063,407.88640380524856,407.88640380524856,407.88640380524856,-289.0086113110779,-289.0086113110779,-289.0086113110779,0.0,0.0,0.0,170.69614361289425
3,2014-10-01,52.685302265705246,132.9634976419648,227.93601088165767,52.685302265705246,52.685302265705246,126.23937057866458,126.23937057866458,126.23937057866458,399.78874827457514,399.78874827457514,399.78874827457514,-273.5493776959106,-273.5493776959106,-273.5493776959106,0.0,0.0,0.0,178.9246728443698
4,2015-01-01,53.55225340164774,150.30678634673882,247.587547964985,53.55225340164774,53.55225340164774,142.17671627288038,142.17671627288038,142.17671627288038,375.2373204056554,375.2373204056554,375.2373204056554,-233.060604132775,-233.060604132775,-233.060604132775,0.0,0.0,0.0,195.72896967452812
5,2015-04-01,54.40035776995765,143.87304391266662,235.5132046455758,54.40035776995765,54.40035776995765,133.16274374372398,133.16274374372398,133.16274374372398,406.3869089562377,406.3869089562377,406.3869089562377,-273.22416521251375,-273.22416521251375,-273.22416521251375,0.0,0.0,0.0,187.56310151368163
6,2015-07-01,55.25788550946245,132.4948677630608,226.00042491577034,55.25788550946245,55.25788550946245,121.7809667022988,121.7809667022988,121.7809667022988,407.8864038050554,407.8864038050554,407.8864038050554,-286.1054371027567,-286.1054371027567,-286.1054371027567,0.0,0.0,0.0,177.03885221176125
7,2015-10-01,56.12483663834625,145.3712510578037,244.04361057363215,56.12483663834625,56.12483663834625,138.4187754628994,138.4187754628994,138.4187754628994,399.7887482745509,399.7887482745509,399.7887482745509,-261.36997281165156,-261.36997281165156,-261.36997281165156,0.0,0.0,0.0,194.54361210124563
8,2016-01-01,56.99178775688018,144.32966865077955,238.65188448252533,56.99178775688018,56.99178775688018,137.2480467731213,137.2480467731213,137.2480467731213,375.23732040567427,375.23732040567427,375.23732040567427,-237.989273632553,-237.989273632553,-237.989273632553,0.0,0.0,0.0,194.23983453000147
9,2016-04-01,57.849297498460984,120.02964319310547,214.32166849990256,57.849297498460984,57.849297498460984,108.60188931333535,108.60188931333535,108.60188931333535,385.73029400032976,385.73029400032976,385.73029400032976,-277.1284046869944,-277.1284046869944,-277.1284046869944,0.0,0.0,0.0,166.45118681179633
10,2016-07-01,58.70680724483683,108.970698645986,201.2095307085556,58.70680724483683,58.70680724483683,96.47983238652826,96.47983238652826,96.47983238652826,393.850115126238,393.850115126238,393.850115126238,-297.37028273970975,-297.37028273970975,-297.37028273970975,0.0,0.0,0.0,155.1866396313651
11,2016-10-01,59.57374017179793,77.03203966690957,174.18202403900273,59.57374017179793,59.57374017179793,65.5525860499822,65.5525860499822,65.5525860499822,362.2896672913854,362.2896672913854,362.2896672913854,-296.73708124140325,-296.73708124140325,-296.73708124140325,0.0,0.0,0.0,125.12632622178012
12,2017-01-01,60.44067309873744,101.67892944752654,195.46908138934546,60.44067309873744,60.44067309873744,87.6002713327668,87.6002713327668,87.6002713327668,309.6270449443657,309.6270449443657,309.6270449443657,-222.02677361159897,-222.02677361159897,-222.02677361159897,0.0,0.0,0.0,148.04094443150424
13,2017-04-01,61.28875966077696,122.55247949133332,215.64118989448883,61.28875966077696,61.28875966077696,108.26766904634403,108.26766904634403,108.26766904634403,385.73029400022847,385.73029400022847,385.73029400022847,-277.4626249538843,-277.4626249538843,-277.4626249538843,0.0,0.0,0.0,169.55642870712097
14,2017-07-01,62.146269400487,117.63638246958996,212.98382401120858,62.146269400487,62.146269400487,101.08850574719123,101.08850574719123,101.08850574719123,393.8501151262194,393.8501151262194,393.8501151262194,-292.7616093790282,-292.7616093790282,-292.7616093790282,0.0,0.0,0.0,163.23477514767825
