,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,19144693.57107833,38248798.1867046,65176921.67488233,19144693.57107833,19144693.57107833,31827492.348060258,31827492.348060258,31827492.348060258,666125659.6583583,666125659.6583583,666125659.6583583,-634298167.310298,-634298167.310298,-634298167.310298,0.0,0.0,0.0,50972185.91913859
1,2014-04-01,19720817.667541042,47445109.51413147,74019398.27592953,19720817.667541042,19720817.667541042,41450097.919871405,41450097.919871405,41450097.919871405,676488982.3672339,676488982.3672339,676488982.3672339,-635038884.4473623,-635038884.4473623,-635038884.4473623,0.0,0.0,0.0,61170915.58741245
2,2014-07-01,20303343.146248624,36208021.75283926,63771904.37338194,20303343.146248624,20303343.146248624,30465013.584567674,30465013.584567674,30465013.584567674,675891651.2496338,675891651.2496338,675891651.2496338,-645426637.6650662,-645426637.6650662,-645426637.6650662,0.0,0.0,0.0,50768356.7308163
3,2014-10-01,20892270.00461196,38947474.8892577,66848048.91543943,20892270.00461196,20892270.00461196,32947879.720318384,32947879.720318384,32947879.720318384,674142332.6805362,674142332.6805362,674142332.6805362,-641194452.9602176,-641194452.9602176,-641194452.9602176,0.0,0.0,0.0,53840149.724930346
4,2015-01-01,21481196.865137484,33293906.099620275,61141581.21235351,21481196.865137484,21481196.865137484,24881950.45108611,24881950.45108611,24881950.45108611,666125659.6583205,666125659.6583205,666125659.6583205,-641243709.2072345,-641243709.2072345,-641243709.2072345,0.0,0.0,0.0,46363147.31622359
5,2015-04-01,22057320.968211003,55105123.31594537,83205138.18345407,22057320.968211003,22057320.968211003,47752762.06050998,47752762.06050998,47752762.06050998,676488982.3670979,676488982.3670979,676488982.3670979,-628736220.3065879,-628736220.3065879,-628736220.3065879,0.0,0.0,0.0,69810083.02872097
6,2015-07-01,22639846.45185852,42673146.25829762,69905110.66400488,22639846.45185852,22639846.45185852,33603909.23303261,33603909.23303261,33603909.23303261,675891651.2498075,675891651.2498075,675891651.2498075,-642287742.0167749,-642287742.0167749,-642287742.0167749,0.0,0.0,0.0,56243755.68489113
7,2015-10-01,23228773.3088642,46714570.59192605,74813255.8189499,23228773.3088642,23228773.3088642,37960269.44322563,37960269.44322563,37960269.44322563,674142332.6805736,674142332.6805736,674142332.6805736,-636182063.237348,-636182063.237348,-636182063.237348,0.0,0.0,0.0,61189042.75208983
8,2016-01-01,23817700.170113374,28252224.763336718,54985117.637277886,23817700.170113374,23817700.170113374,18008200.5742167,18008200.5742167,18008200.5742167,666125659.6583295,666125659.6583295,666125659.6583295,-648117459.0841126,-648117459.0841126,-648117459.0841126,0.0,0.0,0.0,41825900.74433008
9,2016-04-01,24400225.64565405,35279383.615045935,63012944.85195457,24400225.64565405,24400225.64565405,24693442.879693482,24693442.879693482,24693442.879693482,669154619.5323057,669154619.5323057,669154619.5323057,-644461176.6526122,-644461176.6526122,-644461176.6526122,0.0,0.0,0.0,49093668.52534753
