,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,79.6042911425338,25.857277911905154,87.00038458957053,79.6042911425338,79.6042911425338,-22.82736602074326,-22.82736602074326,-22.82736602074326,690.624220603822,690.624220603822,690.624220603822,-713.4515866245653,-713.4515866245653,-713.4515866245653,0.0,0.0,0.0,56.77692512179054
1,2014-04-01,77.62779613518624,64.41660158499903,127.53494418997016,77.62779613518624,77.62779613518624,18.007950710516337,18.007950710516337,18.007950710516337,713.1253852477997,713.1253852477997,713.1253852477997,-695.1174345372833,-695.1174345372833,-695.1174345372833,0.0,0.0,0.0,95.63574684570258
2,2014-07-01,75.62934007125018,55.578043060249655,117.91170848452667,75.62934007125018,75.62934007125018,10.790806508305506,10.790806508305506,10.790806508305506,723.5916608113129,723.5916608113129,723.5916608113129,-712.8008543030073,-712.8008543030073,-712.8008543030073,0.0,0.0,0.0,86.42014657955569
3,2014-10-01,73.60892295065834,33.97063491870065,95.21824259293322,73.60892295065834,73.60892295065834,-9.531063506280802,-9.531063506280802,-9.531063506280802,698.647499098382,698.647499098382,698.647499098382,-708.1785626046628,-708.1785626046628,-708.1785626046628,0.0,0.0,0.0,64.07785944437754
4,2015-01-01,71.58850583171377,16.507244750353806,82.56997988066298,71.58850583171377,71.58850583171377,-21.056404501654217,-21.056404501654217,-21.056404501654217,690.6242206038719,690.6242206038719,690.6242206038719,-711.6806251055261,-711.6806251055261,-711.6806251055261,0.0,0.0,0.0,50.53210133005956
5,2015-04-01,69.61201082264718,45.97818215148157,106.13603905036295,69.61201082264718,69.61201082264718,6.886648003612535,6.886648003612535,6.886648003612535,713.125385247853,713.125385247853,713.125385247853,-706.2387372442406,-706.2387372442406,-706.2387372442406,0.0,0.0,0.0,76.49865882625971
6,2015-07-01,67.6135547604391,42.23260686966268,102.63192441126559,67.6135547604391,67.6135547604391,6.371497362059519,6.371497362059519,6.371497362059519,723.5916608111861,723.5916608111861,723.5916608111861,-717.2201634491266,-717.2201634491266,-717.2201634491266,0.0,0.0,0.0,73.98505212249862
7,2015-10-01,65.59313764499292,26.98514347771594,90.21089860253856,65.59313764499292,65.59313764499292,-6.660814108017918,-6.660814108017918,-6.660814108017918,698.6474990983626,698.6474990983626,698.6474990983626,-705.3083132063804,-705.3083132063804,-705.3083132063804,0.0,0.0,0.0,58.932323536975005
8,2016-01-01,63.57272053047534,13.805142384734669,77.71086812361806,63.57272053047534,63.57272053047534,-18.34291740316154,-18.34291740316154,-18.34291740316154,690.6242206039589,690.6242206039589,690.6242206039589,-708.9671380071204,-708.9671380071204,-708.9671380071204,0.0,0.0,0.0,45.2298031273138
9,2016-04-01,61.57426446871045,56.72511340135927,116.63840254868056,61.57426446871045,61.57426446871045,24.13910486951681,24.13910486951681,24.13910486951681,691.7729486216639,691.7729486216639,691.7729486216639,-667.6338437521471,-667.6338437521471,-667.6338437521471,0.0,0.0,0.0,85.71336933822727
10,2016-07-01,59.575808408703566,17.731739677916412,79.94257365378303,59.575808408703566,59.575808408703566,-8.655463807167838,-8.655463807167838,-8.655463807167838,694.3619213197028,694.3619213197028,694.3619213197028,-703.0173851268706,-703.0173851268706,-703.0173851268706,0.0,0.0,0.0,50.92034460153573
11,2016-10-01,57.55539128906311,4.152663513575513,68.16163895718633,57.55539128906311,57.55539128906311,-21.58768991749835,-21.58768991749835,-21.58768991749835,690.6304198533498,690.6304198533498,690.6304198533498,-712.2181097708483,-712.2181097708483,-712.2181097708483,0.0,0.0,0.0,35.96770137156476
