,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,134.0631498653274,15.090573394872315,61.506201336777785,134.0631498653274,134.0631498653274,-95.91802532207738,-95.91802532207738,-95.91802532207738,-55.0961193952846,-55.0961193952846,-55.0961193952846,-40.82190592679278,-40.82190592679278,-40.82190592679278,0.0,0.0,0.0,38.14512454325002
1,2014-04-01,135.31056847197894,27.855503945076023,75.69143339666675,135.31056847197894,135.31056847197894,-83.96660212655232,-83.96660212655232,-83.96660212655232,-44.19655668941174,-44.19655668941174,-44.19655668941174,-39.77004543714051,-39.77004543714051,-39.77004543714051,0.0,0.0,0.0,51.34396634542662
2,2014-07-01,136.57184728507164,26.097420699302347,72.82993654775422,136.57184728507164,136.57184728507164,-86.69767664411599,-86.69767664411599,-86.69767664411599,-22.18972720475676,-22.18972720475676,-22.18972720475676,-64.50794943935931,-64.50794943935931,-64.50794943935931,0.0,0.0,0.0,49.874170640955654
3,2014-10-01,137.84698630466636,19.71933828411369,65.75600497278238,137.84698630466636,137.84698630466636,-93.39481614012125,-93.39481614012125,-93.39481614012125,-61.74345577464572,-61.74345577464572,-61.74345577464572,-31.65136036547557,-31.65136036547557,-31.65136036547557,0.0,0.0,0.0,44.45217016454511
4,2015-01-01,139.1221253237894,12.625627208462841,60.64439744638198,139.1221253237894,139.1221253237894,-103.3379003193565,-103.3379003193565,-103.3379003193565,-55.09611939501407,-55.09611939501407,-55.09611939501407,-48.24178092434244,-48.24178092434244,-48.24178092434244,0.0,0.0,0.0,35.784225004432884
5,2015-04-01,140.36954392895686,42.708330970999974,89.8094209275416,140.36954392895686,140.36954392895686,-73.81625671642227,-73.81625671642227,-73.81625671642227,-44.19655668864695,-44.19655668864695,-44.19655668864695,-29.619700027775313,-29.619700027775313,-29.619700027775313,0.0,0.0,0.0,66.55328721253458
6,2015-07-01,141.63082274109922,20.2299020786262,64.6052200546573,141.63082274109922,141.63082274109922,-99.39988745353368,-99.39988745353368,-99.39988745353368,-22.18972720570141,-22.18972720570141,-22.18972720570141,-77.21016024783218,-77.21016024783218,-77.21016024783218,0.0,0.0,0.0,42.23093528756554
7,2015-10-01,142.90596175955702,47.313951949697106,92.77848666877502,142.90596175955702,142.90596175955702,-72.67834950377109,-72.67834950377109,-72.67834950377109,-61.74345577485776,-61.74345577485776,-61.74345577485776,-10.934893728913355,-10.934893728913355,-10.934893728913355,0.0,0.0,0.0,70.22761225578593
8,2016-01-01,144.18110077835928,10.824401055028902,56.00473636753107,144.18110077835928,144.18110077835928,-111.5711344483345,-111.5711344483345,-111.5711344483345,-55.09611939459456,-55.09611939459456,-55.09611939459456,-56.47501505373982,-56.47501505373982,-56.47501505373982,0.0,0.0,0.0,32.609966330024776
9,2016-04-01,145.4423795899532,10.07738097668959,55.35718168445696,145.4423795899532,145.4423795899532,-113.1579596735781,-113.1579596735781,-113.1579596735781,-58.97988588216407,-58.97988588216407,-58.97988588216407,-54.17807379141403,-54.17807379141403,-54.17807379141403,0.0,0.0,0.0,32.284419916375086
10,2016-07-01,146.70365840113206,22.64671996452838,66.75317426217707,146.70365840113206,146.70365840113206,-102.74928988453367,-102.74928988453367,-102.74928988453367,-61.827013684855324,-61.827013684855324,-61.827013684855324,-40.92227619967834,-40.92227619967834,-40.92227619967834,0.0,0.0,0.0,43.95436851659839
11,2016-10-01,147.9787974188779,3.0897275664467645,47.35376740798347,147.9787974188779,147.9787974188779,-122.3917409600468,-122.3917409600468,-122.3917409600468,-51.77917303977873,-51.77917303977873,-51.77917303977873,-70.6125679202681,-70.6125679202681,-70.6125679202681,0.0,0.0,0.0,25.587056458831086
12,2017-01-01,149.25393643653635,34.49360145620805,81.37184032949943,149.25393643653635,149.25393643653635,-89.99921461039088,-89.99921461039088,-89.99921461039088,-55.78116418533288,-55.78116418533288,-55.78116418533288,-34.21805042505801,-34.21805042505801,-34.21805042505801,0.0,0.0,0.0,59.25472182614547
13,2017-04-01,150.50135504092992,21.075505695677034,67.58621625623671,150.50135504092992,150.50135504092992,-106.94141526155782,-106.94141526155782,-106.94141526155782,-58.97988588330817,-58.97988588330817,-58.97988588330817,-47.961529378249644,-47.961529378249644,-47.961529378249644,0.0,0.0,0.0,43.5599397793721
14,2017-07-01,151.76263385224206,16.689039374171266,60.538206885894475,151.76263385224206,151.76263385224206,-114.22986807068442,-114.22986807068442,-114.22986807068442,-61.827013685180724,-61.827013685180724,-61.827013685180724,-52.402854385503694,-52.402854385503694,-52.402854385503694,0.0,0.0,0.0,37.53276578155764
15,2017-10-01,153.03777287000813,28.723571559436607,73.0501125968633,153.03777287000813,153.03777287000813,-103.33101994607853,-103.33101994607853,-103.33101994607853,-51.779173039723105,-51.779173039723105,-51.779173039723105,-51.551846906355394,-51.551846906355394,-51.551846906355394,0.0,0.0,0.0,49.7067529239296
16,2018-01-01,154.3129118874608,35.36943474887021,80.26314768943378,154.3129118874608,154.3129118874608,-96.6030701121959,-96.6030701121959,-96.6030701121959,-55.78116418559591,-55.78116418559591,-55.78116418559591,-40.82190592659998,-40.82190592659998,-40.82190592659998,0.0,0.0,0.0,57.70984177526492
17,2018-04-01,155.56033049125003,33.077008563073655,80.04717001968805,155.56033049125003,155.56033049125003,-98.74993132002967,-98.74993132002967,-98.74993132002967,-58.9798858829448,-58.9798858829448,-58.9798858829448,-39.770045437085,-39.770045437085,-39.770045437085,0.0,0.0,0.0,56.810399171220354
18,2018-07-01,156.82160930189218,8.146631324169121,52.84234667521256,156.82160930189218,156.82160930189218,-126.33496312413118,-126.33496312413118,-126.33496312413118,-61.827013684872725,-61.827013684872725,-61.827013684872725,-64.50794943925845,-64.50794943925845,-64.50794943925845,0.0,0.0,0.0,30.486646177761003
19,2018-10-01,158.09674831917064,51.95249111914997,97.77736049504979,158.09674831917064,158.09674831917064,-83.43053340513066,-83.43053340513066,-83.43053340513066,-51.77917303962442,-51.77917303962442,-51.77917303962442,-31.651360365506243,-31.651360365506243,-31.651360365506243,0.0,0.0,0.0,74.66621491403998
20,2019-01-01,159.37188733601633,32.44030385743423,78.02315648051783,159.37188733601633,159.37188733601633,-104.0229451092515,-104.0229451092515,-104.0229451092515,-55.78116418489495,-55.78116418489495,-55.78116418489495,-48.24178092435654,-48.24178092435654,-48.24178092435654,0.0,0.0,0.0,55.348942226764834
