,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-6713676.389219101,7122546.483479461,20479391.979336884,-6713676.389219101,-6713676.389219101,20431856.389703654,20431856.389703654,20431856.389703654,71369218.80589166,71369218.80589166,71369218.80589166,-50937362.41618801,-50937362.41618801,-50937362.41618801,0.0,0.0,0.0,13718180.000484552
1,2014-04-01,-6316264.471532906,6979383.81318752,21279823.072333924,-6316264.471532906,-6316264.471532906,20451551.087327566,20451551.087327566,20451551.087327566,75400562.34130561,75400562.34130561,75400562.34130561,-54949011.25397803,-54949011.25397803,-54949011.25397803,0.0,0.0,0.0,14135286.615794659
2,2014-07-01,-5914436.865927011,11208106.439845946,25327942.254132506,-5914436.865927011,-5914436.865927011,24140705.84772516,24140705.84772516,24140705.84772516,75824899.68375736,75824899.68375736,75824899.68375736,-51684193.8360322,-51684193.8360322,-51684193.8360322,0.0,0.0,0.0,18226268.98179815
3,2014-10-01,-5508193.572136648,5638823.529086093,20018821.60555949,-5508193.572136648,-5508193.572136648,18429896.76968529,18429896.76968529,18429896.76968529,73820225.23667489,73820225.23667489,73820225.23667489,-55390328.46698961,-55390328.46698961,-55390328.46698961,0.0,0.0,0.0,12921703.197548643
4,2015-01-01,-5101950.278809726,12081795.463182425,26984627.10255122,-5101950.278809726,-5101950.278809726,24601732.657944836,24601732.657944836,24601732.657944836,71369218.80588987,71369218.80588987,71369218.80588987,-46767486.14794504,-46767486.14794504,-46767486.14794504,0.0,0.0,0.0,19499782.37913511
5,2015-04-01,-4704538.361818575,6603354.701926456,20094772.22294756,-4704538.361818575,-4704538.361818575,18174310.89174299,18174310.89174299,18174310.89174299,75400562.34125443,75400562.34125443,75400562.34125443,-57226251.44951144,-57226251.44951144,-57226251.44951144,0.0,0.0,0.0,13469772.529924415
6,2015-07-01,-4302710.757351074,13351972.757111983,27365129.86206216,-4302710.757351074,-4302710.757351074,24752856.646951582,24752856.646951582,24752856.646951582,75824899.68382384,75824899.68382384,75824899.68382384,-51072043.03687225,-51072043.03687225,-51072043.03687225,0.0,0.0,0.0,20450145.889600508
7,2015-10-01,-3896467.4653458092,8793790.281655116,22120318.05499217,-3896467.4653458092,-3896467.4653458092,19459873.105793558,19459873.105793558,19459873.105793558,73820225.23668866,73820225.23668866,73820225.23668866,-54360352.13089511,-54360352.13089511,-54360352.13089511,0.0,0.0,0.0,15563405.640447749
8,2016-01-01,-3490224.173014621,18513165.449966274,32139267.386191044,-3490224.173014621,-3490224.173014621,28735632.187447157,28735632.187447157,28735632.187447157,71369218.8058911,71369218.8058911,71369218.8058911,-42633586.618443936,-42633586.618443936,-42633586.618443936,0.0,0.0,0.0,25245408.014432535
9,2016-04-01,-3088396.569067792,12157112.265191356,26654777.715944182,-3088396.569067792,-3088396.569067792,22398513.940189034,22398513.940189034,22398513.940189034,72092929.9540964,72092929.9540964,72092929.9540964,-49694416.013907395,-49694416.013907395,-49694416.013907395,0.0,0.0,0.0,19310117.371121243
10,2016-07-01,-2686568.965057612,10642171.69100121,24248227.34286014,-2686568.965057612,-2686568.965057612,19877485.389011063,19877485.389011063,19877485.389011063,72927425.98054132,72927425.98054132,72927425.98054132,-53049940.591530256,-53049940.591530256,-53049940.591530256,0.0,0.0,0.0,17190916.42395345
11,2016-10-01,-2280325.67305268,3592408.442161177,17563617.245636787,-2280325.67305268,-2280325.67305268,13352709.930967204,13352709.930967204,13352709.930967204,70771878.87799232,70771878.87799232,70771878.87799232,-57419168.94702511,-57419168.94702511,-57419168.94702511,0.0,0.0,0.0,11072384.257914525
12,2017-01-01,-1874082.3809645278,5358328.3601033,19407969.883007977,-1874082.3809645278,-1874082.3809645278,14201281.518626938,14201281.518626938,14201281.518626938,69337972.18529095,69337972.18529095,69337972.18529095,-55136690.66666401,-55136690.66666401,-55136690.66666401,0.0,0.0,0.0,12327199.13766241
13,2017-04-01,-1476670.4644652307,11178274.183343718,24808783.765185826,-1476670.4644652307,-1476670.4644652307,19655576.74362751,19655576.74362751,19655576.74362751,72092929.95413314,72092929.95413314,72092929.95413314,-52437353.210505605,-52437353.210505605,-52437353.210505605,0.0,0.0,0.0,18178906.27916228
14,2017-07-01,-1074842.8599575148,12365615.780678658,25940456.223431736,-1074842.8599575148,-1074842.8599575148,20583949.902249046,20583949.902249046,20583949.902249046,72927425.9805562,72927425.9805562,72927425.9805562,-52343476.07830716,-52343476.07830716,-52343476.07830716,0.0,0.0,0.0,19509107.04229153
15,2017-10-01,-668599.5675487571,7293883.924055109,20563064.051218513,-668599.5675487571,-668599.5675487571,14361915.966706425,14361915.966706425,14361915.966706425,70771878.87800318,70771878.87800318,70771878.87800318,-56409962.911296755,-56409962.911296755,-56409962.911296755,0.0,0.0,0.0,13693316.399157668
16,2018-01-01,-262356.27515488927,11423838.298717773,24608024.27611034,-262356.27515488927,-262356.27515488927,18400609.769145727,18400609.769145727,18400609.769145727,69337972.1853269,69337972.1853269,69337972.1853269,-50937362.41618117,-50937362.41618117,-50937362.41618117,0.0,0.0,0.0,18138253.49399084
17,2018-04-01,135055.64094891702,10558019.37474135,24540610.67047648,135055.64094891702,135055.64094891702,17143918.70011765,17143918.70011765,17143918.70011765,72092929.95411727,72092929.95411727,72092929.95411727,-54949011.253999665,-54949011.253999665,-54949011.253999665,0.0,0.0,0.0,17278974.34106657
18,2018-07-01,536883.2449035813,15144101.527945433,28567330.906540293,536883.2449035813,536883.2449035813,21243232.144537468,21243232.144537468,21243232.144537468,72927425.9805501,72927425.9805501,72927425.9805501,-51684193.83601263,-51684193.83601263,-51684193.83601263,0.0,0.0,0.0,21780115.38944105
19,2018-10-01,943126.0925305894,9524813.695680233,23401759.364170324,943126.0925305894,943126.0925305894,15381550.411025194,15381550.411025194,15381550.411025194,70771878.87801115,70771878.87801115,70771878.87801115,-55390328.466985956,-55390328.466985956,-55390328.466985956,0.0,0.0,0.0,16324676.503555784
20,2019-01-01,1349367.8293897256,16968737.109906636,31130490.515228916,1349367.8293897256,1349367.8293897256,22570486.03723212,22570486.03723212,22570486.03723212,69337972.1851764,69337972.1851764,69337972.1851764,-46767486.14794429,-46767486.14794429,-46767486.14794429,0.0,0.0,0.0,23919853.866621844
