,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-13288765.480929535,4160281.3000212936,13222656.590095041,-13288765.480929535,-13288765.480929535,22083548.93369559,22083548.93369559,22083548.93369559,231092152.78901792,231092152.78901792,231092152.78901792,-209008603.8553223,-209008603.8553223,-209008603.8553223,0.0,0.0,0.0,8794783.452766053
1,2014-04-01,-13110187.058061192,6436033.270597916,15043021.53711771,-13110187.058061192,-13110187.058061192,24033293.70740639,24033293.70740639,24033293.70740639,233882477.5305874,233882477.5305874,233882477.5305874,-209849183.82318097,-209849183.82318097,-209849183.82318097,0.0,0.0,0.0,10923106.649345199
2,2014-07-01,-12929624.430415224,5674661.060220507,14137930.705567785,-12929624.430415224,-12929624.430415224,22925844.52334615,22925844.52334615,22925844.52334615,232599734.53731474,232599734.53731474,232599734.53731474,-209673890.01396862,-209673890.01396862,-209673890.01396862,0.0,0.0,0.0,9996220.092930924
3,2014-10-01,-12747077.59797993,7543350.057458559,16713887.108477011,-12747077.59797993,-12747077.59797993,24803996.41071735,24803996.41071735,24803996.41071735,233566514.98100716,233566514.98100716,233566514.98100716,-208762518.5702898,-208762518.5702898,-208762518.5702898,0.0,0.0,0.0,12056918.81273742
4,2015-01-01,-12564530.765662963,2828288.8912870786,11650750.232535789,-12564530.765662963,-12564530.765662963,19842320.654722366,19842320.654722366,19842320.654722366,231092152.78898087,231092152.78898087,231092152.78898087,-211249832.1342585,-211249832.1342585,-211249832.1342585,0.0,0.0,0.0,7277789.889059404
5,2015-04-01,-12385952.34268109,8869434.005491853,17800665.01913557,-12385952.34268109,-12385952.34268109,25365509.319595933,25365509.319595933,25365509.319595933,233882477.5304427,233882477.5304427,233882477.5304427,-208516968.2108468,-208516968.2108468,-208516968.2108468,0.0,0.0,0.0,12979556.976914844
6,2015-07-01,-12205389.715070387,7642018.952232256,16271289.600946233,-12205389.715070387,-12205389.715070387,24067652.18773689,24067652.18773689,24067652.18773689,232599734.53750095,232599734.53750095,232599734.53750095,-208532082.34976405,-208532082.34976405,-208532082.34976405,0.0,0.0,0.0,11862262.472666504
7,2015-10-01,-12022842.88272664,11750191.555498758,20736939.86078583,-12022842.88272664,-12022842.88272664,28261603.40931509,28261603.40931509,28261603.40931509,233566514.98104608,233566514.98104608,233566514.98104608,-205304911.571731,-205304911.571731,-205304911.571731,0.0,0.0,0.0,16238760.526588451
8,2016-01-01,-11840296.050273195,1159638.8930624172,10003405.465306094,-11840296.050273195,-11840296.050273195,17562709.97695259,17562709.97695259,17562709.97695259,231092152.7889595,231092152.7889595,231092152.7889595,-213529442.81200692,-213529442.81200692,-213529442.81200692,0.0,0.0,0.0,5722413.926679395
9,2016-04-01,-11659733.422524804,3788463.1391560244,13116041.00351065,-11659733.422524804,-11659733.422524804,20277151.489636976,20277151.489636976,20277151.489636976,231837321.87534842,231837321.87534842,231837321.87534842,-211560170.38571143,-211560170.38571143,-211560170.38571143,0.0,0.0,0.0,8617418.067112172
10,2016-07-01,-11479170.794719467,5438409.724205574,14013743.328376364,-11479170.794719467,-11479170.794719467,21182997.715833172,21182997.715833172,21182997.715833172,232728688.90884948,232728688.90884948,232728688.90884948,-211545691.19301632,-211545691.19301632,-211545691.19301632,0.0,0.0,0.0,9703826.921113705
11,2016-10-01,-11296623.962262528,70102.61081060785,8744184.630874861,-11296623.962262528,-11296623.962262528,15872046.853419447,15872046.853419447,15872046.853419447,230602052.70358574,230602052.70358574,230602052.70358574,-214730005.8501663,-214730005.8501663,-214730005.8501663,0.0,0.0,0.0,4575422.891156919
12,2017-01-01,-11114077.129900308,8062325.266428685,16858805.422720432,-11114077.129900308,-11114077.129900308,23506966.56635342,23506966.56635342,23506966.56635342,230315288.9266214,230315288.9266214,230315288.9266214,-206808322.360268,-206808322.360268,-206808322.360268,0.0,0.0,0.0,12392889.436453113
13,2017-04-01,-10935498.706952678,5695689.485386364,14554838.489802623,-10935498.706952678,-10935498.706952678,20972704.198554624,20972704.198554624,20972704.198554624,231837321.87551203,231837321.87551203,231837321.87551203,-210864617.67695746,-210864617.67695746,-210864617.67695746,0.0,0.0,0.0,10037205.491601946
14,2017-07-01,-10754936.079281524,6588922.261277811,15299993.562967226,-10754936.079281524,-10754936.079281524,22050324.76210925,22050324.76210925,22050324.76210925,232728688.90889528,232728688.90889528,232728688.90889528,-210678364.146786,-210678364.146786,-210678364.146786,0.0,0.0,0.0,11295388.682827726
15,2017-10-01,-10572389.246968335,3849163.724479175,12745326.076707179,-10572389.246968335,-10572389.246968335,18696921.03596538,18696921.03596538,18696921.03596538,230602052.70358157,230602052.70358157,230602052.70358157,-211905131.66761622,-211905131.66761622,-211905131.66761622,0.0,0.0,0.0,8124531.788997045
16,2018-01-01,-10389842.414686918,6794654.752530597,15335764.247912299,-10389842.414686918,-10389842.414686918,21306685.07138297,21306685.07138297,21306685.07138297,230315288.92669532,230315288.92669532,230315288.92669532,-209008603.85531235,-209008603.85531235,-209008603.85531235,0.0,0.0,0.0,10916842.656696051
17,2018-04-01,-10211263.991731241,7178426.847201604,16001130.934516404,-10211263.991731241,-10211263.991731241,21988138.052251045,21988138.052251045,21988138.052251045,231837321.87544164,231837321.87544164,231837321.87544164,-209849183.82319057,-209849183.82319057,-209849183.82319057,0.0,0.0,0.0,11776874.060519803
18,2018-07-01,-10030701.36403626,8680441.18256047,17326499.59355405,-10030701.36403626,-10030701.36403626,23054798.89490134,23054798.89490134,23054798.89490134,232728688.90885854,232728688.90885854,232728688.90885854,-209673890.01395714,-209673890.01395714,-209673890.01395714,0.0,0.0,0.0,13024097.530865079
19,2018-10-01,-9848154.531770162,7794084.977542958,16348822.035871236,-9848154.531770162,-9848154.531770162,21839534.13329323,21839534.13329323,21839534.13329323,230602052.70358044,230602052.70358044,230602052.70358044,-208762518.57028726,-208762518.57028726,-208762518.57028726,0.0,0.0,0.0,11991379.601523068
20,2019-01-01,-9665607.699382588,5131543.603524001,13737528.958301174,-9665607.699382588,-9665607.699382588,19065456.792130005,19065456.792130005,19065456.792130005,230315288.92638534,230315288.92638534,230315288.92638534,-211249832.13425538,-211249832.13425538,-211249832.13425538,0.0,0.0,0.0,9399849.092747416
21,2019-04-01,-9487029.276431216,9467258.949645372,18272007.62085024,-9487029.276431216,-9487029.276431216,23320353.664521534,23320353.664521534,23320353.664521534,231837321.87539035,231837321.87539035,231837321.87539035,-208516968.2108688,-208516968.2108688,-208516968.2108688,0.0,0.0,0.0,13833324.388090318
22,2019-07-01,-9306466.648819374,10341514.02038022,19318770.43926852,-9306466.648819374,-9306466.648819374,24196606.559086908,24196606.559086908,24196606.559086908,232728688.90884623,232728688.90884623,232728688.90884623,-208532082.34975937,-208532082.34975937,-208532082.34975937,0.0,0.0,0.0,14890139.910267534
23,2019-10-01,-9123919.816583492,11653295.492169516,20639044.485114835,-9123919.816583492,-9123919.816583492,25297141.131860133,25297141.131860133,25297141.131860133,230602052.70358717,230602052.70358717,230602052.70358717,-205304911.57172704,-205304911.57172704,-205304911.57172704,0.0,0.0,0.0,16173221.315276641
24,2020-01-01,-8941372.98436802,3575706.9759730506,11974808.848704375,-8941372.98436802,-8941372.98436802,16785846.114556123,16785846.114556123,16785846.114556123,230315288.92656618,230315288.92656618,230315288.92656618,-213529442.81201002,-213529442.81201002,-213529442.81201002,0.0,0.0,0.0,7844473.130188102
25,2020-04-01,-8760810.356770126,5683149.818456592,14501660.666316172,-8760810.356770126,-8760810.356770126,18783409.10903971,18783409.10903971,18783409.10903971,230343579.49474207,230343579.49474207,230343579.49474207,-211560170.38570237,-211560170.38570237,-211560170.38570237,0.0,0.0,0.0,10022598.752269583
26,2020-07-01,-8580247.729172232,6137932.269997572,14453850.037489668,-8580247.729172232,-8580247.729172232,18834582.732657775,18834582.732657775,18834582.732657775,230380273.92568722,230380273.92568722,230380273.92568722,-211545691.19302943,-211545691.19302943,-211545691.19302943,0.0,0.0,0.0,10254335.003485544
27,2020-10-01,-8397700.89687546,2590916.96750826,11132830.476198297,-8397700.89687546,-8397700.89687546,15302140.347885337,15302140.347885337,15302140.347885337,230032146.1980371,230032146.1980371,230032146.1980371,-214730005.85015175,-214730005.85015175,-214730005.85015175,0.0,0.0,0.0,6904439.451009877
