,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-8597294.769757831,7428415.0434298245,15320298.984044582,-8597294.769757831,-8597294.769757831,20054894.552364547,20054894.552364547,20054894.552364547,95681510.9793595,95681510.9793595,95681510.9793595,-75626616.42699492,-75626616.42699492,-75626616.42699492,0.0,0.0,0.0,11457599.782606715
1,2014-04-01,-8758659.703371655,8061757.6126746405,15995140.880207373,-8758659.703371655,-8758659.703371655,20760543.556826662,20760543.556826662,20760543.556826662,95267340.98263611,95267340.98263611,95267340.98263611,-74506797.42580944,-74506797.42580944,-74506797.42580944,0.0,0.0,0.0,12001883.853455007
2,2014-07-01,-8921817.580854433,4008432.3845539177,11272711.655719146,-8921817.580854433,-8921817.580854433,16486452.528226731,16486452.528226731,16486452.528226731,93098929.28899646,93098929.28899646,93098929.28899646,-76612476.76076972,-76612476.76076972,-76612476.76076972,0.0,0.0,0.0,7564634.947372299
3,2014-10-01,-9086768.402093852,7794896.800990357,15678904.618270736,-9086768.402093852,-9086768.402093852,20919392.612041,20919392.612041,20919392.612041,96868640.86467029,96868640.86467029,96868640.86467029,-75949248.2526293,-75949248.2526293,-75949248.2526293,0.0,0.0,0.0,11832624.209947148
4,2015-01-01,-9251719.223258631,6888305.657999337,14357344.635574533,-9251719.223258631,-9251719.223258631,19850606.913442772,19850606.913442772,19850606.913442772,95681510.97932826,95681510.97932826,95681510.97932826,-75830904.06588548,-75830904.06588548,-75830904.06588548,0.0,0.0,0.0,10598887.69018414
5,2015-04-01,-9413084.157085134,8492286.611145737,16221522.208097553,-9413084.157085134,-9413084.157085134,21749521.541267395,21749521.541267395,21749521.541267395,95267340.9825557,95267340.9825557,95267340.9825557,-73517819.4412883,-73517819.4412883,-73517819.4412883,0.0,0.0,0.0,12336437.384182261
6,2015-07-01,-9576242.034824418,2290820.7084726105,9912655.78741546,-9576242.034824418,-9576242.034824418,15864742.98582846,15864742.98582846,15864742.98582846,93098929.28909837,93098929.28909837,93098929.28909837,-77234186.30326991,-77234186.30326991,-77234186.30326991,0.0,0.0,0.0,6288500.951004041
7,2015-10-01,-9741192.856128793,6675075.481228695,14401557.07938033,-9741192.856128793,-9741192.856128793,20359030.064729147,20359030.064729147,20359030.064729147,96868640.86469276,96868640.86469276,96868640.86469276,-76509610.79996362,-76509610.79996362,-76509610.79996362,0.0,0.0,0.0,10617837.208600353
8,2016-01-01,-9906143.677551962,5874314.641610706,13632209.525248326,-9906143.677551962,-9906143.677551962,19661985.01067923,19661985.01067923,19661985.01067923,95681510.97929455,95681510.97929455,95681510.97929455,-76019525.96861534,-76019525.96861534,-76019525.96861534,0.0,0.0,0.0,9755841.333127268
9,2016-04-01,-10069301.55510912,6072490.117003559,13526704.991421744,-10069301.55510912,-10069301.55510912,20058461.817856193,20058461.817856193,20058461.817856193,96302952.50642036,96302952.50642036,96302952.50642036,-76244490.68856415,-76244490.68856415,-76244490.68856415,0.0,0.0,0.0,9989160.262747072
10,2016-07-01,-10232459.432827018,7573569.069274833,15265850.62316594,-10232459.432827018,-10232459.432827018,21693352.24644339,21693352.24644339,21693352.24644339,96754769.62354206,96754769.62354206,96754769.62354206,-75061417.37709865,-75061417.37709865,-75061417.37709865,0.0,0.0,0.0,11460892.813616373
11,2016-10-01,-10397410.254150176,6068462.604215485,13892153.025903385,-10397410.254150176,-10397410.254150176,20294437.841920715,20294437.841920715,20294437.841920715,95022088.10500728,95022088.10500728,95022088.10500728,-74727650.26308654,-74727650.26308654,-74727650.26308654,0.0,0.0,0.0,9897027.587770538
12,2017-01-01,-10562361.075435547,3568380.5898472434,11665897.883251019,-10562361.075435547,-10562361.075435547,18081322.48495949,18081322.48495949,18081322.48495949,93488075.07560669,93488075.07560669,93488075.07560669,-75406752.59064719,-75406752.59064719,-75406752.59064719,0.0,0.0,0.0,7518961.409523943
13,2017-04-01,-10723726.009201912,6686204.907142424,13980586.63855964,-10723726.009201912,-10723726.009201912,20886718.741076525,20886718.741076525,20886718.741076525,96302952.50654027,96302952.50654027,96302952.50654027,-75416233.76546372,-75416233.76546372,-75416233.76546372,0.0,0.0,0.0,10162992.731874613
14,2017-07-01,-10886883.886636721,6168646.337727804,13729255.524856303,-10886883.886636721,-10886883.886636721,20866949.624022413,20866949.624022413,20866949.624022413,96754769.62357393,96754769.62357393,96754769.62357393,-75887819.99955152,-75887819.99955152,-75887819.99955152,0.0,0.0,0.0,9980065.737385692
15,2017-10-01,-11051834.707713217,4554819.010388162,12259843.2354832,-11051834.707713217,-11051834.707713217,19667123.39687427,19667123.39687427,19667123.39687427,95022088.1049961,95022088.1049961,95022088.1049961,-75354964.70812182,-75354964.70812182,-75354964.70812182,0.0,0.0,0.0,8615288.689161055
16,2018-01-01,-11216785.595384298,2859811.6213371027,10551724.856123874,-11216785.595384298,-11216785.595384298,17861458.64865243,17861458.64865243,17861458.64865243,93488075.07563405,93488075.07563405,93488075.07563405,-75626616.42698161,-75626616.42698161,-75626616.42698161,0.0,0.0,0.0,6644673.053268133
17,2018-04-01,-11378150.594161421,6839932.664183514,13958457.063908536,-11378150.594161421,-11378150.594161421,21796155.080685094,21796155.080685094,21796155.080685094,96302952.50649588,96302952.50649588,96302952.50649588,-74506797.42581078,-74506797.42581078,-74506797.42581078,0.0,0.0,0.0,10418004.486523673
18,2018-07-01,-11541308.537373181,4854559.886671342,12462419.456731578,-11541308.537373181,-11541308.537373181,20142292.862777732,20142292.862777732,20142292.862777732,96754769.62354521,96754769.62354521,96754769.62354521,-76612476.76076747,-76612476.76076747,-76612476.76076747,0.0,0.0,0.0,8600984.32540455
19,2018-10-01,-11706259.425127026,3421770.335576925,11169061.77735703,-11706259.425127026,-11706259.425127026,19072839.85235725,19072839.85235725,19072839.85235725,95022088.10498445,95022088.10498445,95022088.10498445,-75949248.25262721,-75949248.25262721,-75949248.25262721,0.0,0.0,0.0,7366580.427230224
20,2019-01-01,-11871210.312748015,2000974.5545163662,9551267.576202746,-11871210.312748015,-11871210.312748015,17657171.009640936,17657171.009640936,17657171.009640936,93488075.07553406,93488075.07553406,93488075.07553406,-75830904.06589313,-75830904.06589313,-75830904.06589313,0.0,0.0,0.0,5785960.696892921
21,2019-04-01,-12032575.311706237,6906383.735030381,14587323.490322547,-12032575.311706237,-12032575.311706237,22785133.065165356,22785133.065165356,22785133.065165356,96302952.50644894,96302952.50644894,96302952.50644894,-73517819.44128358,-73517819.44128358,-73517819.44128358,0.0,0.0,0.0,10752557.753459118
22,2019-07-01,-12195733.254923806,3537635.5886251316,11019827.515442781,-12195733.254923806,-12195733.254923806,19520583.32027708,19520583.32027708,19520583.32027708,96754769.62354225,96754769.62354225,96754769.62354225,-77234186.30326515,-77234186.30326515,-77234186.30326515,0.0,0.0,0.0,7324850.065353274
23,2019-10-01,-12360684.142523246,2206720.6659710007,9976767.908480901,-12360684.142523246,-12360684.142523246,18512477.305058856,18512477.305058856,18512477.305058856,95022088.10502093,95022088.10502093,95022088.10502093,-76509610.79996207,-76509610.79996207,-76509610.79996207,0.0,0.0,0.0,6151793.16253561
24,2020-01-01,-12525635.03026189,800173.8187556069,8865155.002554273,-12525635.03026189,-12525635.03026189,17468549.106963612,17468549.106963612,17468549.106963612,93488075.07557906,93488075.07557906,93488075.07557906,-76019525.96861544,-76019525.96861544,-76019525.96861544,0.0,0.0,0.0,4942914.076701723
