,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,15371227.524474056,5068505.884545661,15353088.36408356,15371227.524474056,15371227.524474056,-5020588.957198924,-5020588.957198924,-5020588.957198924,147556039.01695198,147556039.01695198,147556039.01695198,-152576627.9741509,-152576627.9741509,-152576627.9741509,0.0,0.0,0.0,10350638.567275133
1,2014-04-01,15770835.246259566,3293859.2080002576,13369453.46554941,15770835.246259566,15770835.246259566,-7240814.432908155,-7240814.432908155,-7240814.432908155,150255934.43106696,150255934.43106696,150255934.43106696,-157496748.8639751,-157496748.8639751,-157496748.8639751,0.0,0.0,0.0,8530020.813351411
2,2014-07-01,16174883.054000512,3372752.60929735,13602084.621106757,16174883.054000512,16174883.054000512,-7479811.243016448,-7479811.243016448,-7479811.243016448,149346568.54862052,149346568.54862052,149346568.54862052,-156826379.79163697,-156826379.79163697,-156826379.79163697,0.0,0.0,0.0,8695071.810984064
3,2014-10-01,16583370.94741107,4403270.26630321,14306303.285044024,16583370.94741107,16583370.94741107,-7005583.9565730095,-7005583.9565730095,-7005583.9565730095,150703191.54267818,150703191.54267818,150703191.54267818,-157708775.49925122,-157708775.49925122,-157708775.49925122,0.0,0.0,0.0,9577786.99083806
4,2015-01-01,16991858.84077209,4128173.9509717054,14060296.763967834,16991858.84077209,16991858.84077209,-8256637.354162149,-8256637.354162149,-8256637.354162149,147556039.01694754,147556039.01694754,147556039.01694754,-155812676.3711097,-155812676.3711097,-155812676.3711097,0.0,0.0,0.0,8735221.48660994
5,2015-04-01,17391466.562669806,5834062.143041474,15563746.160771523,17391466.562669806,17391466.562669806,-6409313.0354852965,-6409313.0354852965,-6409313.0354852965,150255934.431084,150255934.431084,150255934.431084,-156665247.4665693,-156665247.4665693,-156665247.4665693,0.0,0.0,0.0,10982153.527184509
6,2015-07-01,17795514.370248813,9208271.979108505,19191838.5083181,17795514.370248813,17795514.370248813,-3761304.9924543956,-3761304.9924543956,-3761304.9924543956,149346568.54859474,149346568.54859474,149346568.54859474,-153107873.54104915,-153107873.54104915,-153107873.54104915,0.0,0.0,0.0,14034209.377794418
7,2015-10-01,18204002.263498597,6699698.345133255,16174028.512393078,18204002.263498597,18204002.263498597,-6627839.231258584,-6627839.231258584,-6627839.231258584,150703191.5426751,150703191.5426751,150703191.5426751,-157331030.77393368,-157331030.77393368,-157331030.77393368,0.0,0.0,0.0,11576163.032240013
8,2016-01-01,18612490.15666813,1975518.1124244146,12506084.433462339,18612490.15666813,18612490.15666813,-11379850.103065884,-11379850.103065884,-11379850.103065884,147556039.01693857,147556039.01693857,147556039.01693857,-158935889.12000442,-158935889.12000442,-158935889.12000442,0.0,0.0,0.0,7232640.053602247
9,2016-04-01,19016537.96395213,4381962.301361148,14579084.368100494,19016537.96395213,19016537.96395213,-9530921.550292213,-9530921.550292213,-9530921.550292213,149119351.07615662,149119351.07615662,149119351.07615662,-158650272.62644887,-158650272.62644887,-158650272.62644887,0.0,0.0,0.0,9485616.413659919
10,2016-07-01,19420585.771172825,1102707.3508970474,11011689.384771572,19420585.771172825,19420585.771172825,-13418981.353717707,-13418981.353717707,-13418981.353717707,150171696.1789268,150171696.1789268,150171696.1789268,-163590677.53264448,-163590677.53264448,-163590677.53264448,0.0,0.0,0.0,6001604.417455118
11,2016-10-01,19829073.664092235,2897350.0203961264,12743426.528608607,19829073.664092235,19829073.664092235,-12192605.376854539,-12192605.376854539,-12192605.376854539,145510128.90067828,145510128.90067828,145510128.90067828,-157702734.27753282,-157702734.27753282,-157702734.27753282,0.0,0.0,0.0,7636468.287237696
12,2017-01-01,20237561.55689904,3231418.6716259657,13050233.439825559,20237561.55689904,20237561.55689904,-12213123.451660395,-12213123.451660395,-12213123.451660395,137018283.7531778,137018283.7531778,137018283.7531778,-149231407.20483816,-149231407.20483816,-149231407.20483816,0.0,0.0,0.0,8024438.105238646
13,2017-04-01,20637169.278008673,6571487.637603473,16282593.157976788,20637169.278008673,20637169.278008673,-9039563.763517778,-9039563.763517778,-9039563.763517778,149119351.07615736,149119351.07615736,149119351.07615736,-158158914.83967516,-158158914.83967516,-158158914.83967516,0.0,0.0,0.0,11597605.514490895
14,2017-07-01,21041217.084851105,5903274.191829888,15675704.00641158,21041217.084851105,21041217.084851105,-10150198.728035253,-10150198.728035253,-10150198.728035253,150171696.17892826,150171696.17892826,150171696.17892826,-160321894.9069635,-160321894.9069635,-160321894.9069635,0.0,0.0,0.0,10891018.356815852
15,2017-10-01,21449704.97736718,4207980.777518537,13935461.224585254,21449704.97736718,21449704.97736718,-12322387.104184909,-12322387.104184909,-12322387.104184909,145510128.90066817,145510128.90066817,145510128.90066817,-157832516.00485307,-157832516.00485307,-157832516.00485307,0.0,0.0,0.0,9127317.873182273
16,2018-01-01,21858192.869889937,1391022.6321576927,11348535.020537108,21858192.869889937,21858192.869889937,-15558344.221002921,-15558344.221002921,-15558344.221002921,137018283.75315058,137018283.75315058,137018283.75315058,-152576627.97415346,-152576627.97415346,-152576627.97415346,0.0,0.0,0.0,6299848.648887016
17,2018-04-01,22257800.590825964,8576767.27422672,18806129.347041994,22257800.590825964,22257800.590825964,-8377397.78782395,-8377397.78782395,-8377397.78782395,149119351.07616076,149119351.07616076,149119351.07616076,-157496748.86398467,-157496748.86398467,-157496748.86398467,0.0,0.0,0.0,13880402.803002015
18,2018-07-01,22661848.397394195,11083856.538565272,21001521.06946324,22661848.397394195,22661848.397394195,-6654683.61269848,-6654683.61269848,-6654683.61269848,150171696.17893472,150171696.17893472,150171696.17893472,-156826379.7916332,-156826379.7916332,-156826379.7916332,0.0,0.0,0.0,16007164.784695715
19,2018-10-01,23070336.289829865,5848722.412743232,16069716.321399614,23070336.289829865,23070336.289829865,-12198646.598591352,-12198646.598591352,-12198646.598591352,145510128.90065527,145510128.90065527,145510128.90065527,-157708775.49924663,-157708775.49924663,-157708775.49924663,0.0,0.0,0.0,10871689.691238513
20,2019-01-01,23478824.182404608,66531.40370075789,10023555.276878715,23478824.182404608,23478824.182404608,-18794392.617865413,-18794392.617865413,-18794392.617865413,137018283.7532337,137018283.7532337,137018283.7532337,-155812676.3710991,-155812676.3710991,-155812676.3710991,0.0,0.0,0.0,4684431.564539194
