,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,21002401.1043195,3499270.5747316363,12338612.3292344,21002401.1043195,21002401.1043195,-13170793.213751012,-13170793.213751012,-13170793.213751012,-38734479.60536685,-38734479.60536685,-38734479.60536685,25563686.391615834,25563686.391615834,25563686.391615834,0.0,0.0,0.0,7831607.890568489
1,2014-04-01,21032490.92424011,9195544.088330442,18254331.65759896,21032490.92424011,21032490.92424011,-7445022.025602326,-7445022.025602326,-7445022.025602326,-36238894.20811267,-36238894.20811267,-36238894.20811267,28793872.18251036,28793872.18251036,28793872.18251036,0.0,0.0,0.0,13587468.898637783
2,2014-07-01,21062915.075549643,10668263.337356837,19577116.924857583,21062915.075549643,21062915.075549643,-5744198.460084774,-5744198.460084774,-5744198.460084774,-32320105.998041604,-32320105.998041604,-32320105.998041604,26575907.537956823,26575907.537956823,26575907.537956823,0.0,0.0,0.0,15318716.61546487
3,2014-10-01,21093673.558144487,5190860.967801256,14044077.856133543,21093673.558144487,21093673.558144487,-11550089.795814577,-11550089.795814577,-11550089.795814577,-39558239.76778269,-39558239.76778269,-39558239.76778269,28008149.971968103,28008149.971968103,28008149.971968103,0.0,0.0,0.0,9543583.76232991
4,2015-01-01,21124432.040700603,3687455.368122728,12538383.979013603,21124432.040700603,21124432.040700603,-13210653.691185651,-13210653.691185651,-13210653.691185651,-38734479.60531965,-38734479.60531965,-38734479.60531965,25523825.914134,25523825.914134,25523825.914134,0.0,0.0,0.0,7913778.349514952
5,2015-04-01,21154521.86062258,10264815.791517155,19059169.104339834,21154521.86062258,21154521.86062258,-6467524.423865029,-6467524.423865029,-6467524.423865029,-36238894.20798606,-36238894.20798606,-36238894.20798606,29771369.784121014,29771369.784121014,29771369.784121014,0.0,0.0,0.0,14686997.436757553
6,2015-07-01,21184946.011824302,8921007.64489671,17559327.82381748,21184946.011824302,21184946.011824302,-7932479.286429569,-7932479.286429569,-7932479.286429569,-32320105.99819802,-32320105.99819802,-32320105.99819802,24387626.711768456,24387626.711768456,24387626.711768456,0.0,0.0,0.0,13252466.725394733
7,2015-10-01,21215704.4944247,7196264.767149771,16189281.076019453,21215704.4944247,21215704.4944247,-9391858.504674261,-9391858.504674261,-9391858.504674261,-39558239.767817646,-39558239.767817646,-39558239.767817646,30166381.263143387,30166381.263143387,30166381.263143387,0.0,0.0,0.0,11823845.98975044
8,2016-01-01,21246462.97710144,3373160.5826209295,12096645.46614764,21246462.97710144,21246462.97710144,-13345652.019676808,-13345652.019676808,-13345652.019676808,-38734479.60524947,-38734479.60524947,-38734479.60524947,25388827.58557267,25388827.58557267,25388827.58557267,0.0,0.0,0.0,7900810.957424633
9,2016-04-01,21276887.128464386,4601769.862757342,13424014.691778986,21276887.128464386,21276887.128464386,-12359274.470411243,-12359274.470411243,-12359274.470411243,-39330681.78888751,-39330681.78888751,-39330681.78888751,26971407.318476267,26971407.318476267,26971407.318476267,0.0,0.0,0.0,8917612.658053143
10,2016-07-01,21307311.279804967,7828841.739722898,17184541.936816208,21307311.279804967,21307311.279804967,-8742177.441841446,-8742177.441841446,-8742177.441841446,-39710029.453586735,-39710029.453586735,-39710029.453586735,30967852.011745285,30967852.011745285,30967852.011745285,0.0,0.0,0.0,12565133.837963521
11,2016-10-01,21338069.762454994,2615786.218051142,11744992.623676818,21338069.762454994,21338069.762454994,-14193701.930978024,-14193701.930978024,-14193701.930978024,-38187954.231638595,-38187954.231638595,-38187954.231638595,23994252.30066059,23994252.30066059,23994252.30066059,0.0,0.0,0.0,7144367.83147697
12,2017-01-01,21368828.245058198,3978329.0990972403,12903984.54712373,21368828.245058198,21368828.245058198,-13099844.591700463,-13099844.591700463,-13099844.591700463,-38607254.70238685,-38607254.70238685,-38607254.70238685,25507410.110686388,25507410.110686388,25507410.110686388,0.0,0.0,0.0,8268983.653357735
13,2017-04-01,21398918.0650181,5461678.66727834,14334745.30853959,21398918.0650181,21398918.0650181,-11470920.682373857,-11470920.682373857,-11470920.682373857,-39330681.7890806,-39330681.7890806,-39330681.7890806,27859761.10670674,27859761.10670674,27859761.10670674,0.0,0.0,0.0,9927997.382644242
14,2017-07-01,21429342.216286745,6024116.627598881,15049630.974298084,21429342.216286745,21429342.216286745,-10939826.312686488,-10939826.312686488,-10939826.312686488,-39710029.45364049,-39710029.45364049,-39710029.45364049,28770203.140953995,28770203.140953995,28770203.140953995,0.0,0.0,0.0,10489515.903600257
15,2017-10-01,21460100.698882837,4625841.116708138,13732553.063221568,21460100.698882837,21460100.698882837,-12237898.415272038,-12237898.415272038,-12237898.415272038,-38187954.23162624,-38187954.23162624,-38187954.23162624,25950055.8163542,25950055.8163542,25950055.8163542,0.0,0.0,0.0,9222202.283610798
16,2018-01-01,21490859.181495816,4383658.110103823,13288021.205303673,21490859.181495816,21490859.181495816,-13043568.310810618,-13043568.310810618,-13043568.310810618,-38607254.702427715,-38607254.702427715,-38607254.702427715,25563686.391617093,25563686.391617093,25563686.391617093,0.0,0.0,0.0,8447290.870685197
17,2018-04-01,21520949.001484238,6663207.066737443,15692868.93209087,21520949.001484238,21520949.001484238,-10536809.606506776,-10536809.606506776,-10536809.606506776,-39330681.78901833,-39330681.78901833,-39330681.78901833,28793872.18251156,28793872.18251156,28793872.18251156,0.0,0.0,0.0,10984139.394977462
18,2018-07-01,21551373.152811382,3995829.540019497,12823870.240407938,21551373.152811382,21551373.152811382,-13134121.915634878,-13134121.915634878,-13134121.915634878,-39710029.45358843,-39710029.45358843,-39710029.45358843,26575907.537953563,26575907.537953563,26575907.537953563,0.0,0.0,0.0,8417251.237176504
19,2018-10-01,21582131.635536727,7156535.738481514,15852878.141094513,21582131.635536727,21582131.635536727,-10179804.259640815,-10179804.259640815,-10179804.259640815,-38187954.23160791,-38187954.23160791,-38187954.23160791,28008149.9719671,28008149.9719671,28008149.9719671,0.0,0.0,0.0,11402327.375895912
20,2019-01-01,21612890.118290596,4115131.5382949095,13290786.304422533,21612890.118290596,21612890.118290596,-13083428.78819221,-13083428.78819221,-13083428.78819221,-38607254.70231809,-38607254.70231809,-38607254.70231809,25523825.91412587,25523825.91412587,25523825.91412587,0.0,0.0,0.0,8529461.330098385
21,2019-04-01,21642979.93832929,7448582.65715042,16285183.316872025,21642979.93832929,21642979.93832929,-9559312.00482056,-9559312.00482056,-9559312.00482056,-39330681.78893027,-39330681.78893027,-39330681.78893027,29771369.784109704,29771369.784109704,29771369.784109704,0.0,0.0,0.0,12083667.933508731
22,2019-07-01,21673404.08977925,2136374.431990516,10863277.575102929,21673404.08977925,21673404.08977925,-15322402.741829863,-15322402.741829863,-15322402.741829863,-39710029.453591086,-39710029.453591086,-39710029.453591086,24387626.711761225,24387626.711761225,24387626.711761225,0.0,0.0,0.0,6351001.3479493875
23,2019-10-01,21704162.57257467,8942678.27469895,17950022.27481527,21704162.57257467,21704162.57257467,-8021572.9685164485,-8021572.9685164485,-8021572.9685164485,-38187954.23166017,-38187954.23166017,-38187954.23166017,30166381.263143726,30166381.263143726,30166381.263143726,0.0,0.0,0.0,13682589.604058223
24,2020-01-01,21734921.055331722,4051273.6695149005,13180738.984545577,21734921.055331722,21734921.055331722,-13218427.116752226,-13218427.116752226,-13218427.116752226,-38607254.70232889,-38607254.70232889,-38607254.70232889,25388827.585576665,25388827.585576665,25388827.585576665,0.0,0.0,0.0,8516493.938579496
25,2020-04-01,21765345.20673292,6071552.601240704,15380719.661588443,21765345.20673292,21765345.20673292,-11043583.35278284,-11043583.35278284,-11043583.35278284,-38014990.67125914,-38014990.67125914,-38014990.67125914,26971407.318476308,26971407.318476308,26971407.318476308,0.0,0.0,0.0,10721761.853950081
26,2020-07-01,21795769.358134117,10317655.53061303,19296571.412268534,21795769.358134117,21795769.358134117,-6932236.829933178,-6932236.829933178,-6932236.829933178,-37900088.8416744,-37900088.8416744,-37900088.8416744,30967852.01174123,30967852.01174123,30967852.01174123,0.0,0.0,0.0,14863532.52820094
27,2020-10-01,21826527.840869397,1544716.0054192073,10680924.289205234,21826527.840869397,21826527.840869397,-15685898.602964854,-15685898.602964854,-15685898.602964854,-39680150.90363134,-39680150.90363134,-39680150.90363134,23994252.30066648,23994252.30066648,23994252.30066648,0.0,0.0,0.0,6140629.237904543
28,2021-01-01,21857286.323604677,-1565922.8011884866,7374405.629848601,21857286.323604677,21857286.323604677,-19279550.043297734,-19279550.043297734,-19279550.043297734,-44786960.15398334,-44786960.15398334,-44786960.15398334,25507410.110685606,25507410.110685606,25507410.110685606,0.0,0.0,0.0,2577736.2803069428
29,2021-04-01,21887376.143671796,7237812.603573478,16164211.181266716,21887376.143671796,21887376.143671796,-10155229.564505082,-10155229.564505082,-10155229.564505082,-38014990.67119694,-38014990.67119694,-38014990.67119694,27859761.10669185,27859761.10669185,27859761.10669185,0.0,0.0,0.0,11732146.579166714
30,2021-07-01,21917800.295072995,8468461.679905754,17465570.831581425,21917800.295072995,21917800.295072995,-9129885.700716875,-9129885.700716875,-9129885.700716875,-37900088.84164814,-37900088.84164814,-37900088.84164814,28770203.14093126,28770203.14093126,28770203.14093126,0.0,0.0,0.0,12787914.59435612
31,2021-10-01,21948558.777808275,3921429.880785555,12648272.38930314,21948558.777808275,21948558.777808275,-13730095.08712292,-13730095.08712292,-13730095.08712292,-39680150.903467424,-39680150.903467424,-39680150.903467424,25950055.8163445,25950055.8163445,25950055.8163445,0.0,0.0,0.0,8218463.690685354
32,2022-01-01,21979317.260543555,-1775177.5368772969,7173236.410636849,21979317.25551816,21979317.26512224,-19223273.762480956,-19223273.762480956,-19223273.762480956,-44786960.15410248,-44786960.15410248,-44786960.15410248,25563686.391621534,25563686.391621534,25563686.391621534,0.0,0.0,0.0,2756043.4980625995
33,2022-04-01,22009407.08061067,8175655.923172701,17444570.141565993,22009407.06438695,22009407.097200375,-9221118.488734897,-9221118.488734897,-9221118.488734897,-38014990.67123836,-38014990.67123836,-38014990.67123836,28793872.18250347,28793872.18250347,28793872.18250347,0.0,0.0,0.0,12788288.591875773
34,2022-07-01,22039831.232011873,6522788.769480917,15161426.784097854,22039831.199951977,22039831.265391115,-11324181.303730052,-11324181.303730052,-11324181.303730052,-37900088.841679625,-37900088.841679625,-37900088.841679625,26575907.537949573,26575907.537949573,26575907.537949573,0.0,0.0,0.0,10715649.928281821
35,2022-10-01,22070589.71474715,5840488.509084129,15087795.680368287,22070589.664429642,22070589.76877134,-11672000.931521531,-11672000.931521531,-11672000.931521531,-39680150.9034934,-39680150.9034934,-39680150.9034934,28008149.97197186,28008149.97197186,28008149.97197186,0.0,0.0,0.0,10398588.783225618
