,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,2846389.982605133,8031371.499524087,17573608.266293313,2846389.982605133,2846389.982605133,9821034.431516357,9821034.431516357,9821034.431516357,55062552.25964063,55062552.25964063,55062552.25964063,-45241517.82812428,-45241517.82812428,-45241517.82812428,0.0,0.0,0.0,12667424.41412149
1,2014-04-01,2965950.2208601166,11448760.025084363,20476078.410199404,2965950.2208601166,2965950.2208601166,13121241.291332413,13121241.291332413,13121241.291332413,57117174.467547506,57117174.467547506,57117174.467547506,-43995933.17621509,-43995933.17621509,-43995933.17621509,0.0,0.0,0.0,16087191.512192529
2,2014-07-01,3086838.90620411,4848917.092986471,14007113.26282273,3086838.90620411,3086838.90620411,6551907.140671794,6551907.140671794,6551907.140671794,57636536.7990991,57636536.7990991,57636536.7990991,-51084629.65842731,-51084629.65842731,-51084629.65842731,0.0,0.0,0.0,9638746.046875905
3,2014-10-01,3209056.0386724863,5758476.8634893885,15199533.436404387,3209056.0386724863,3209056.0386724863,7322648.590317658,7322648.590317658,7322648.590317658,56285491.72651126,56285491.72651126,56285491.72651126,-48962843.13619358,-48962843.13619358,-48962843.13619358,0.0,0.0,0.0,10531704.628990144
4,2015-01-01,3331273.1711454717,7567077.588144817,16684679.043153465,3331273.1711454717,3331273.1711454717,8701710.024827767,8701710.024827767,8701710.024827767,55062552.25965351,55062552.25965351,55062552.25965351,-46360842.23482574,-46360842.23482574,-46360842.23482574,0.0,0.0,0.0,12032983.19597324
5,2015-04-01,3450833.4094504765,14364017.546300288,23311433.58543811,3450833.4094504765,3450833.4094504765,15083814.35541746,15083814.35541746,15083814.35541746,57117174.46755395,57117174.46755395,57117174.46755395,-42033360.1121365,-42033360.1121365,-42033360.1121365,0.0,0.0,0.0,18534647.764867935
6,2015-07-01,3571722.094849114,6371129.6419840455,15492461.207162473,3571722.094849114,3571722.094849114,7400208.402923753,7400208.402923753,7400208.402923753,57636536.79909464,57636536.79909464,57636536.79909464,-50236328.39617091,-50236328.39617091,-50236328.39617091,0.0,0.0,0.0,10971930.497772867
7,2015-10-01,3693939.2273424026,5989658.2472440945,15045484.887705116,3693939.2273424026,3693939.2273424026,6760852.1144974455,6760852.1144974455,6760852.1144974455,56285491.726508886,56285491.726508886,56285491.726508886,-49524639.61201144,-49524639.61201144,-49524639.61201144,0.0,0.0,0.0,10454791.341839848
8,2016-01-01,3816156.3598166164,7388845.241362752,15754532.556267453,3816156.3598166164,3816156.3598166164,7661900.690694074,7661900.690694074,7661900.690694074,55062552.25966997,55062552.25966997,55062552.25966997,-47400651.56897589,-47400651.56897589,-47400651.56897589,0.0,0.0,0.0,11478057.05051069
9,2016-04-01,3937045.0452201925,7506241.133578172,16300823.252010424,3937045.0452201925,3937045.0452201925,7953798.366916301,7953798.366916301,7953798.366916301,55523350.90757097,55523350.90757097,55523350.90757097,-47569552.5406547,-47569552.5406547,-47569552.5406547,0.0,0.0,0.0,11890843.412136493
10,2016-07-01,4057933.7306044647,2866294.6305971676,11959494.598188814,4057933.7306044647,4057933.7306044647,3499255.0316734836,3499255.0316734836,3499255.0316734836,55915296.27303931,55915296.27303931,55915296.27303931,-52416041.241365835,-52416041.241365835,-52416041.241365835,0.0,0.0,0.0,7557188.762277948
11,2016-10-01,4180150.8630823893,6304712.133931854,15083240.588475961,4180150.8630823893,4180150.8630823893,6356729.522631466,6356729.522631466,6356729.522631466,54481548.949781865,54481548.949781865,54481548.949781865,-48124819.427150406,-48124819.427150406,-48124819.427150406,0.0,0.0,0.0,10536880.385713857
12,2017-01-01,4302367.995545511,7413783.537371964,16283708.83064564,4302367.995545511,4302367.995545511,7439825.6061989395,7439825.6061989395,7439825.6061989395,51482448.223006226,51482448.223006226,51482448.223006226,-44042622.61680729,-44042622.61680729,-44042622.61680729,0.0,0.0,0.0,11742193.60174445
13,2017-04-01,4421928.233811702,9722124.330863027,18333488.03320543,4421928.233811702,4421928.233811702,9681295.775099948,9681295.775099948,9681295.775099948,55523350.90753946,55523350.90753946,55523350.90753946,-45842055.1324395,-45842055.1324395,-45842055.1324395,0.0,0.0,0.0,14103224.00891165
14,2017-07-01,4542816.919182921,4376721.9077355275,13248805.758684084,4542816.919182921,4542816.919182921,4104338.072805102,4104338.072805102,4104338.072805102,55915296.27303363,55915296.27303363,55915296.27303363,-51810958.20022853,-51810958.20022853,-51810958.20022853,0.0,0.0,0.0,8647154.991988022
15,2017-10-01,4665034.051654226,6266090.727454288,15456630.283036062,4665034.051654226,4665034.051654226,5985477.528713627,5985477.528713627,5985477.528713627,54481548.949793406,54481548.949793406,54481548.949793406,-48496071.42107977,-48496071.42107977,-48496071.42107977,0.0,0.0,0.0,10650511.580367852
16,2018-01-01,4787251.184099955,6723939.527837745,15347541.133684829,4787251.184099955,4787251.184099955,6240930.394925269,6240930.394925269,6240930.394925269,51482448.22301374,51482448.22301374,51482448.22301374,-45241517.82808847,-45241517.82808847,-45241517.82808847,0.0,0.0,0.0,11028181.579025224
17,2018-04-01,4906811.422347729,11819679.341549996,20911981.435062315,4906811.422347729,4906811.422347729,11527417.731334249,11527417.731334249,11527417.731334249,55523350.90754935,55523350.90754935,55523350.90754935,-43995933.17621513,-43995933.17621513,-43995933.17621513,0.0,0.0,0.0,16434229.153681979
