,ds,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
0,2014-1분기,64638275.38480215,978.0020345389894,50972185.91913859,13718180.000484552,8794783.452766053,11457599.782606715,10350638.567275133,7831607.890568489,12667424.41412149,14572104.088772034,-841111.7760708658,21013.194042371608,187281.3598635656,14116618.557774138,18586892.94291789,27621293.33499538,4065032.773951335,8438821.322615478,53511329.21751289,792903.8487655567,10491216.48528119,23742769.114154615,14456105.602987751,8888704.016931508,3635107.9197143354,758.3997273342497,221.48330496993896,135.9329035357876,152.29452605320535,157.5561366041476,128.3410286107543,184.2892356978105,197.60877452885046,23.89039928092024,0.1690277678403096,4.990195586130511,214.17019732504957,257.3816405868091,446.19821482799694,56.77692512179054,99.9543955365832,871.195724333722,21.60574263980299,217.5179636631429,358.71477151878014,216.26577209072892,120.81536438951107,38.14512454325002,8.164514824716704
1,2014-2분기,75266511.05206746,961.7777956065256,61170915.58741245,14135286.615794659,10923106.649345199,12001883.853455007,8530020.813351411,13587468.898637783,16087191.512192529,11815962.445953032,2308867.0977153247,29697.6949903871,-51509.53326985126,17206636.70326752,20312823.48947011,32935320.31761721,4978689.226986067,14976804.079480123,59986573.99195147,539354.0267063112,11355208.36595866,33763825.90613035,10779453.994071435,11948660.509220231,6356429.02929762,751.0807318630201,212.67960983760923,131.96529211347098,127.55085202985646,153.99668919618284,131.6973213117111,206.23653967447518,181.18451591197038,31.576792905138078,0.2388849160249289,0.5941634562583129,200.1937259443322,246.88638961378874,420.7218298859084,95.63574684570258,148.77542281079587,810.7764654403968,17.637711251350982,211.99377404162885,428.20033620133114,126.25380180719414,122.87511822418523,51.34396634542662,7.8158729788139105
2,2014-3분기,68709822.78068277,860.9775204046722,50768356.7308163,18226268.98179815,9996220.092930924,7564634.947372299,8695071.810984064,15318716.61546487,9638746.046875905,15365898.719956668,2896104.7773693833,-111.53685210223193,-34370.181310808126,14749017.235108266,20734643.34664717,27990152.514027487,5367678.945883341,11308254.92261965,56800515.226037644,349613.7749970842,11536997.255591333,33143823.37812798,7237750.248247147,10767408.789781364,5123801.157739904,649.840750671364,211.7462588216376,109.30485049279456,115.99948307843775,121.55553945434558,172.57814476060574,132.53648474614192,170.69614361289425,41.093865027025984,-0.0008971898848295079,-0.8596794608683922,163.76583406911445,255.24191959919858,357.2648715829125,86.42014657955569,127.63160993769058,729.0237078149512,12.80575647753538,193.76643704138687,396.7760704880387,122.18936956702171,84.92761107626025,49.874170640955654,7.7065149637841
3,2014-4분기,66921461.170405135,902.882772935613,53840149.724930346,12921703.197548643,12056918.81273742,11832624.209947148,9577786.99083806,9543583.76232991,10531704.628990144,12838791.187858399,38577.68257353408,26920.874613250096,150594.97822587047,12017034.29850907,23542184.66714033,25324022.615111724,5817641.806210028,10425836.520376502,54563288.47638719,315496.7960587451,10189921.633029066,25003428.824543077,12845352.94013603,10571889.339899197,5811568.795061048,702.5841437830277,201.54090465739228,136.65785409828183,132.02648355748153,156.17606921066252,122.14069904768382,154.63112055192303,178.9246728443698,22.547353872898533,0.2165484854425755,5.6098198809501785,173.36236070130138,273.29856493271916,387.75221198584507,64.07785944437754,121.31540426211609,773.4696057218384,10.932592059622591,181.23053522129626,382.8996748532034,136.5010157277447,137.03709628499283,44.45217016454511,7.952246032670354
4,2015-1분기,65770024.38951972,902.1162086959384,46363147.31622359,19499782.37913511,7277789.889059404,10598887.69018414,8735221.48660994,7913778.349514952,12032983.19597324,19292327.07213504,223076.93987028487,18739.113860811907,307929.3075945719,13202077.6018317,18329465.871872194,30037519.770848744,3857530.535759923,7282144.3749747,56023676.24785703,734040.1507032878,9319489.575509522,22439215.941998247,15105713.041077033,10888641.018752564,4894498.279734101,686.1136248675463,217.4939307263217,115.46544785503431,148.08441530970492,127.68808928442412,125.31701355396547,170.22559514127403,195.72896967452812,21.83348374546211,0.15073532280773427,7.6655035241792895,190.98302657313386,228.35825361725486,425.69471734847457,50.53210133005956,90.00931688518051,805.0617777396446,22.44442841325872,190.74192911782944,345.02313909162797,187.28881190887898,116.09431640732151,35.784225004432884,7.981710102057644
5,2015-2분기,83550321.83062741,982.6602712491908,69810083.02872097,13469772.529924415,12979556.976914844,12336437.384182261,10982153.527184509,14686997.436757553,18534647.764867935,12694994.691447299,738598.0949986838,-32484.49560287367,-84572.12839969897,21056038.701720934,19541846.627780404,39237438.39750799,3774849.1388893593,17171993.548009288,65911131.45458162,582391.4182902175,11250943.539854039,33383140.457767453,16282239.2945569,11903298.180405896,9597801.038832873,772.4448304817597,209.42389327462672,131.49323642441777,125.73124231613036,159.49145470878233,147.46567106628768,206.4324418743522,187.56310151368163,21.919751185279637,-0.2613016264971578,-1.197825368338929,221.03691109583002,256.49768321759836,428.7231292259528,76.49865882625971,148.65987521826113,829.8074359889251,16.785836077173506,234.29994041676184,406.1225089768975,132.36471386916887,121.14002925455516,66.55328721253458,7.9901294677648
6,2015-3분기,76584624.00584114,897.5126093522849,56243755.68489113,20450145.889600508,11862262.472666504,6288500.951004041,14034209.377794418,13252466.725394733,10971930.497772867,18999135.106554285,1498209.3796485602,-7035.896838887071,123286.0034626108,18901378.158072952,22533667.29625285,28309446.165135067,6630452.024015039,8597631.08627484,67189488.91305445,379678.82522051793,13511972.422823481,32424442.696663287,15807790.810938768,10133938.794396486,3653741.826895874,686.786731527662,210.83238087011293,122.70223302247172,115.55792279064606,145.64753722703406,179.04092591640614,123.76793607184715,177.03885221176125,33.91033885380256,-0.05659596228130337,-0.3782430457482384,183.63673075879296,275.96697703843415,363.7986646602411,73.98505212249862,105.84303522294044,784.3818793338519,11.806113909348527,217.47685272091422,391.8918624666321,147.89562960683975,81.87335259483172,42.23093528756554,7.821535895100215
7,2015-4분기,77065418.00340734,919.5817185518705,61189042.75208983,15563405.640447749,16238760.526588451,10617837.208600353,11576163.032240013,11823845.98975044,10454791.341839848,15235028.824614927,274670.0919885994,15703.099341442921,48957.932941937346,17382135.305609047,28965897.34242461,25016931.631102957,5669897.618214153,12755122.98364045,62986531.536403716,118252.63229680312,10665944.515335854,26051553.00507568,17007385.94138563,10167278.804904087,11636817.306275379,705.477849028941,214.44188684956606,144.82604174527242,122.55218845309751,153.43647865835027,138.87194121186357,143.5283092757769,194.54361210124563,19.92221686033207,0.12631396371758652,3.107659706702562,195.92464519767782,293.968884104014,367.6541056959137,58.932323536975005,123.85822419656488,788.4386771160334,4.94662093930356,176.96060960316683,387.45090195048573,137.70746512723466,132.66418383214202,70.22761225578593,7.657567155027525
8,2016-1분기,66904901.45900108,832.3286684742748,41825900.74433008,25245408.014432535,5722413.926679395,9755841.333127268,7232640.053602247,7900810.957424633,11478057.05051069,23932924.726922117,1358009.8600249253,16582.79005846753,432913.5136544894,12161538.59881039,18065254.861360945,32477535.034414202,3708343.964427991,6089221.829334512,58668356.46298404,673850.4231690526,8093319.334139339,21336711.316078305,15710354.200955313,12977418.510404175,5963362.344238937,618.4263418280589,214.15642551048492,95.2751059487619,144.51018228727054,98.88215098293455,122.1142782308803,157.88100974526395,194.23983453000147,19.943866168937532,0.1333900968360779,10.404091464964214,167.15368582883352,199.25123195527758,409.78709873859793,45.2298031273138,79.99538887545883,744.5809275735904,23.325029698879046,163.3448329704734,335.1661761038567,159.72321662478183,112.68041169267048,32.609966330024776,7.79794074937753
9,2016-2분기,68594796.76024127,920.8388013948174,49093668.52534753,19310117.371121243,8617418.067112172,9989160.262747072,9485616.413659919,8917612.658053143,11890843.412136493,14407909.424433174,4885481.607035458,155158.64100991783,391544.11872228986,14594052.10127882,21525566.296286754,24895568.734285653,6858625.678916697,5797658.379724339,60687437.88441762,370395.61085570155,11062831.982284945,26710026.909700736,15431511.384232003,10292049.172181476,2419764.2506463043,711.5003606387468,208.81558240514948,144.18706569706913,124.08762046374235,148.32865613080207,90.56736979780618,202.72282276058846,166.45118681179633,42.34887185901506,1.248078645167376,10.103385207930575,194.1309872060138,226.12838948802911,402.2395399654878,85.71336933822727,103.05559037211387,800.8427190279749,12.701076539954734,153.1488593991088,394.83167885584976,177.35864280872676,130.82774585909766,32.284419916375086,7.569882087976419
10,2016-3분기,65007718.41999474,826.2438921970643,47604505.949623615,17190916.42395345,9703826.921113705,11460892.813616373,6001604.417455118,12565133.837963521,7557188.762277948,12767674.934013924,4409439.339727185,22049.34675359632,292668.7823674889,9065819.862247478,16881772.630138993,35912871.17496948,2748790.3533372004,10570399.45644823,52906853.48797747,237176.6740157816,8207346.782416399,27841103.94842547,11784786.927296415,10195881.48352093,4809073.411869176,632.1829463871505,194.45949746108948,120.33223246664869,129.49041863882192,90.22343588204399,129.4253399603026,160.9301682326597,155.1866396313651,39.33498099410147,0.1773624636303377,9.639168840040032,142.0521131285107,209.37852925236382,414.0111891036995,50.92034460153573,116.89947376309087,697.8171983710197,7.508808812284784,137.05022298931635,353.30544590494435,158.10416366643423,112.6623060061128,43.95436851659839,7.891395569474062
11,2016-4분기,50458445.36972788,738.0029642944652,39519111.391380325,11072384.257914525,4575422.891156919,9897027.587770538,7636468.287237696,7144367.83147697,10536880.385713857,10634573.731922412,487663.00593428314,17099.058530582002,272457.1244559562,9561055.44661631,12532005.320047937,23713426.565084122,4312314.0400776565,3091326.9857664863,43412177.41157951,543771.8185569709,6696948.623531057,15011013.536331698,13926809.258462016,9838515.777943425,508885.64002491534,583.0416184586688,155.32144072122622,98.1907687397825,111.55643202117727,141.43511353492926,96.11390745330065,135.81216066042805,125.12632622178012,30.338826149168526,0.1375429023197124,7.5936579632646835,151.65811551604108,224.4363016617321,318.02622801586296,35.96770137156476,76.39247028166818,643.8278378048813,16.50989798131746,151.95432559453778,250.2087820638947,154.39653794583498,124.51096097094182,25.587056458831086,8.397405290956183
12,2017-1분기,60854370.063832045,792.3151217417387,48322519.639189884,12327199.13766241,12392889.436453113,7518961.409523943,8024438.105238646,8268983.653357735,11742193.60174445,10376742.024467744,1924245.7553492493,-12492.782071092057,-195460.83291085478,21132036.429533903,17141851.57621783,21020324.757915985,1714963.7334497687,8340953.488957901,50747009.36632384,505618.4203565231,7616337.385976349,20666080.135563277,18525061.565170057,6204191.0932579525,5455648.408937167,605.0941988479461,186.8215739799208,128.70229758370263,94.87758289209621,118.14787305175426,117.41140243681104,143.69496438526772,148.04094443150424,38.694991763664966,-0.10049053291632798,-3.802932160602424,200.405083062027,259.78448540422625,299.9461029851218,35.779777477036184,71.26224710664229,718.6396881716776,11.315866021354427,170.99483989239656,244.55256804638708,202.35564512589727,99.43563317932359,59.25472182614547,8.015279869696606
13,2017-2분기,73587440.94234991,911.2777689458967,55606693.65328306,18178906.27916228,10037205.491601946,10162992.731874613,11597605.514490895,9927997.382644242,14103224.00891165,14922683.963631922,3281621.0637507993,85276.19178129495,339262.88239827973,17981513.517260265,20192642.01232723,29506494.463763952,5578952.051677803,7832174.553794383,64300453.87387135,410150.4327852676,10733633.45858217,25253005.698726855,20605590.1549075,10232060.593243059,4860348.240679655,710.513668189529,202.0643465505442,139.7711113287159,119.57955424324575,152.19508567065634,103.85194026114105,196.5516665724092,169.55642870712097,32.59950135914084,0.6859520888471095,8.23209190170567,213.6560763709975,228.9767200990905,398.4148303464571,63.08837318046372,102.49727477370554,792.8585342597557,11.706377110746,170.48843618828272,359.80628487900265,183.0173650994739,126.52501907844803,43.5599397793721,7.7503064366580965
14,2017-3분기,71028614.77505508,847.3860106776674,51439052.74241959,19509107.04229153,11295388.682827726,9980065.737385692,10891018.356815852,10489515.903600257,8647154.991988022,16524196.591043316,2945089.053250238,16329.017136184266,462294.6548194446,12997905.63487186,18386783.385880515,35358149.73508581,3891765.1400806783,7816427.323430003,61807054.99752131,267312.5832285642,10133815.237725401,26447751.110856898,19693230.639443863,9419891.512253487,3549924.7504612543,651.8924207994962,195.57945778361454,129.95451086850576,126.98097453425832,112.27337809718179,135.02631192165643,147.93047532190093,163.23477514767825,32.378315551022766,0.13134877601139228,10.075859780170237,164.41717705183063,227.50755458814265,408.0968442116333,37.8588949890335,94.69315121683667,739.8252129090567,6.405004058047026,159.4580047953278,342.3618847498392,180.3161844813186,106.75347768988752,37.53276578155764,7.938422322616882
15,2017-4분기,58680278.27819924,743.7861369865855,45280008.33414057,13693316.399157668,8124531.788997045,8615288.689161055,9127317.873182273,9222202.283610798,10650511.580367852,12943356.636450304,805172.5768869575,3136.680470588104,162421.2309360662,14330372.8531014,17235690.288034588,22550391.554761373,4335735.105938873,5278271.835972713,50284939.90280696,337098.53803005646,7014027.365881218,15292029.641035575,17733465.36759952,9507292.455914024,5761577.32262402,575.9292493034445,168.13715583354548,105.41272650779788,100.79495321152308,135.51607120965107,109.30918947512689,126.81795222989578,139.95806142905997,28.193648443991354,0.025231104671794125,5.236298420896665,175.16873210975206,241.6972296980004,292.28421445417456,29.68700534406113,79.79612227436724,645.6035821208109,10.118386416587734,145.17135262101584,247.72114946286828,156.59265718832137,120.08694979015485,49.7067529239296,8.139950932457788
16,2018-1분기,61981482.048058055,710.2759844733813,43648000.29325978,18138253.49399084,10916842.656696051,6644673.053268133,6299848.648887016,8447290.870685197,11028181.579025224,15171818.41352015,2916210.3904237878,-14925.180899415089,-79326.59010685366,20346528.983306825,16892206.20892346,23408801.31684816,1448625.8181328126,7222534.105781716,53125320.386857286,448096.3804007826,6499950.913792114,19161135.087168574,19221891.454201665,8113248.645286544,6905573.764683079,528.2432196857151,182.1701601960281,107.96986183996256,90.02766843648288,87.25209847782139,114.5784754430158,127.89662550349098,145.76591537754345,36.46628987706763,-0.12005647532469221,-1.1942970507303645,177.8826232973,230.8640646719626,274.8398684403323,28.580845792105983,61.392050097539126,646.8669755219765,12.11044673825574,144.85639442380145,227.01037783485052,171.9934720234148,93.40484273090308,57.70984177526492,7.83192708621985
17,2018-2분기,80230890.94103646,916.8830460059903,63188967.29587637,17278974.34106657,11776874.060519803,10418004.486523673,13880402.803002015,10984139.394977462,16434229.153681979,15618899.094744626,1693621.4641408685,19210.88693396112,296479.2569979117,21602333.166329112,19139909.052837327,34966678.94944683,4336355.895930624,9948809.50060424,69072003.54001874,451579.50511105644,10516961.807867438,24334663.32807926,25946713.097781003,10179025.433423799,7702994.480105162,720.7227938819406,197.0535656520667,137.3326039728041,116.4159992844951,156.87744721383,118.38720055533707,193.5654295027945,174.2952994348953,22.892581366299748,0.15453021231005262,6.398505973906056,233.84810769761168,235.2166215235492,400.50156167811394,42.19820792984358,102.16532130755864,798.3880967156135,10.782807149071392,190.32541340941552,331.2394740129449,188.9065010970064,123.50467084689436,56.810399171220354,7.925779332063937
18,2018-3분기,77974523.5858987,876.119133165913,56092913.2430982,21780115.38944105,13024097.530865079,8600984.32540455,16007164.784695715,8417251.237176504,9858366.722291987,20219862.094908968,1513242.1407004024,10004.419709999507,626003.376012663,17041015.626267537,20038490.822647095,35237990.905733675,5094962.6723169405,5082175.83120798,71452799.52831197,297462.23900789727,12085222.9634496,25390469.915388253,27934970.7510503,8714744.568365652,2182836.6570035145,680.2100117278651,195.67731489117074,141.46370793401223,125.50413976541832,135.35726327792307,141.0579614106772,137.0295713129929,170.42723538103724,25.30641981967589,0.08047442614906536,10.534961031222096,185.5360627110207,246.93480986123328,408.39160030399125,25.105304796566838,72.68285437900855,788.5072699366665,5.354227818962636,182.5209754085894,334.4384961054592,204.2849687026267,102.26634470459132,30.486646177761003,8.016724370051904
19,2018-4분기,67863361.45655456,754.9410021700314,51835693.90968038,16324676.503555784,11991379.601523068,7366580.427230224,10871689.691238513,11402327.375895912,10668623.05367767,15295723.853867505,1082171.6460233605,-9458.135785751896,56502.308257047305,19399077.48065464,22300678.581341088,21813212.69160606,4273294.417765084,7537906.071963973,57932895.67661029,135047.30723004584,7410383.918839773,15956907.287860405,21717425.492831647,9138991.250298465,11302933.094314046,573.808340500894,181.00699534456587,113.10782392183233,90.67135180870453,131.18465397782572,124.27725038582983,116.76513079727756,155.19295409681558,25.81000732029314,-0.07608017974671324,2.8045390230656526,198.21831213340778,260.6696504685556,269.3412060466044,23.975677908492624,82.77450120552867,653.9749841227977,3.926732715368665,139.63837118381082,248.75607747719494,158.29485697247736,115.68582892154168,74.66621491403998,7.860098453863594
